Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Agent_7_Max,Agent_7_Max_Unclipped,Agent_7_Sum,Agent_7_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
26,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_26.txt,74.0,74.0,105.0,-108.0,58.0,58.0,58.0,-204.0,0.0,-10.0,0.0,-376.0,0.0,-12.0,0.0,-554.0,0.0,-30.0,0.0,-557.0,5.0,5.0,5.0,-563.0,0.0,-7.0,0.0,-432.0,74.0,74.0,168.0,-2794.0,False
27,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_27.txt,5.0,5.0,5.0,-350.0,0.0,-1.0,0.0,-318.0,0.0,-17.0,0.0,-333.0,0.0,-12.0,0.0,-384.0,6.0,6.0,6.0,-360.0,0.0,-48.0,0.0,-465.0,109.0,109.0,200.0,136.0,109.0,109.0,211.0,-2074.0,False
28,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_28.txt,0.0,-9.0,0.0,-277.0,98.0,98.0,231.0,143.0,35.0,35.0,35.0,-194.0,22.0,22.0,55.0,-159.0,6.0,6.0,6.0,-237.0,18.0,18.0,18.0,-360.0,51.0,51.0,92.0,-100.0,98.0,98.0,437.0,-1184.0,False
29,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_29.txt,6.0,6.0,10.0,-281.0,102.0,102.0,295.0,295.0,35.0,35.0,35.0,-322.0,0.0,-12.0,0.0,-347.0,0.0,-12.0,0.0,-451.0,26.0,26.0,26.0,-396.0,0.0,-21.0,0.0,-538.0,102.0,102.0,366.0,-2040.0,False
30,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_30.txt,29.0,29.0,29.0,-195.0,0.0,-10.0,0.0,-307.0,6.0,6.0,6.0,-283.0,8.0,8.0,8.0,-217.0,0.0,-9.0,0.0,-281.0,0.0,-17.0,0.0,-255.0,59.0,59.0,140.0,73.0,59.0,59.0,183.0,-1465.0,False
31,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_31.txt,0.0,-4.0,0.0,-416.0,1.0,1.0,1.0,-364.0,9.0,9.0,9.0,-309.0,77.0,77.0,183.0,124.0,12.0,12.0,12.0,-235.0,0.0,-49.0,0.0,-493.0,63.0,63.0,63.0,-33.0,77.0,77.0,268.0,-1726.0,False
32,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_32.txt,164.0,164.0,400.0,276.0,0.0,0.0,0.0,-792.0,44.0,44.0,87.0,-508.0,71.0,71.0,120.0,-410.0,45.0,45.0,73.0,-320.0,96.0,96.0,184.0,16.0,0.0,0.0,0.0,-792.0,164.0,164.0,864.0,-2530.0,False
33,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_33.txt,33.0,33.0,34.0,-52.0,65.0,65.0,65.0,-213.0,43.0,43.0,43.0,-155.0,9.0,9.0,9.0,-98.0,62.0,62.0,62.0,-201.0,0.0,-20.0,0.0,-303.0,55.0,55.0,55.0,-242.0,65.0,65.0,268.0,-1264.0,False
34,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_34.txt,52.0,52.0,63.0,-79.0,0.0,-10.0,0.0,-381.0,0.0,-26.0,0.0,-501.0,25.0,25.0,93.0,-34.0,0.0,-41.0,0.0,-538.0,0.0,-20.0,0.0,-492.0,0.0,-15.0,0.0,-452.0,52.0,52.0,156.0,-2477.0,False
35,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_35.txt,31.0,31.0,63.0,-3.0,11.0,11.0,11.0,-237.0,0.0,-10.0,0.0,-343.0,0.0,-29.0,0.0,-369.0,0.0,-21.0,0.0,-289.0,0.0,-4.0,0.0,-249.0,2.0,2.0,2.0,-149.0,31.0,31.0,76.0,-1639.0,False
36,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_36.txt,9.0,9.0,9.0,-343.0,0.0,-17.0,0.0,-346.0,0.0,-23.0,0.0,-357.0,0.0,-37.0,0.0,-415.0,0.0,-5.0,0.0,-413.0,0.0,-30.0,0.0,-402.0,147.0,147.0,413.0,408.0,147.0,147.0,422.0,-1868.0,False
37,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_37.txt,38.0,38.0,38.0,-336.0,24.0,24.0,24.0,-325.0,76.0,76.0,90.0,-178.0,26.0,26.0,27.0,-151.0,21.0,21.0,24.0,-232.0,0.0,-16.0,0.0,-368.0,145.0,145.0,173.0,112.0,145.0,145.0,376.0,-1478.0,False
38,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_38.txt,0.0,-8.0,0.0,-303.0,63.0,63.0,141.0,88.0,11.0,11.0,11.0,-294.0,0.0,-29.0,0.0,-449.0,0.0,-14.0,0.0,-404.0,0.0,-65.0,0.0,-477.0,0.0,-13.0,0.0,-316.0,63.0,63.0,152.0,-2155.0,False
39,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_39.txt,56.0,56.0,56.0,-198.0,42.0,42.0,43.0,-137.0,122.0,122.0,124.0,53.0,5.0,5.0,5.0,-304.0,28.0,28.0,39.0,-205.0,50.0,50.0,62.0,-233.0,86.0,86.0,86.0,-95.0,122.0,122.0,415.0,-1119.0,False
40,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_40.txt,66.0,66.0,125.0,-203.0,96.0,96.0,126.0,-308.0,0.0,0.0,0.0,-768.0,0.0,0.0,0.0,-768.0,52.0,52.0,79.0,-466.0,108.0,108.0,264.0,130.0,80.0,80.0,237.0,-23.0,108.0,108.0,831.0,-2406.0,False
41,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_41.txt,152.0,152.0,444.0,240.0,74.0,74.0,118.0,-536.0,0.0,0.0,0.0,-772.0,145.0,145.0,275.0,9.0,131.0,131.0,462.0,345.0,0.0,0.0,0.0,-772.0,0.0,0.0,0.0,-772.0,152.0,152.0,1299.0,-2258.0,False
42,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_42.txt,63.0,63.0,135.0,78.0,39.0,39.0,57.0,-246.0,4.0,4.0,4.0,-376.0,40.0,40.0,82.0,7.0,0.0,-6.0,0.0,-432.0,0.0,-11.0,0.0,-425.0,0.0,-16.0,0.0,-431.0,63.0,63.0,278.0,-1825.0,False
43,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_43.txt,162.0,162.0,424.0,255.0,71.0,71.0,79.0,-448.0,126.0,126.0,231.0,-153.0,31.0,31.0,42.0,-520.0,0.0,0.0,0.0,-779.0,0.0,0.0,0.0,-779.0,71.0,71.0,94.0,-60.0,162.0,162.0,870.0,-2484.0,False
44,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_44.txt,8.0,8.0,8.0,-150.0,6.0,6.0,6.0,-211.0,53.0,53.0,53.0,-94.0,53.0,53.0,53.0,-219.0,5.0,5.0,5.0,-173.0,43.0,43.0,43.0,-281.0,76.0,76.0,212.0,194.0,76.0,76.0,380.0,-934.0,False
45,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_45.txt,19.0,19.0,23.0,-224.0,0.0,-4.0,0.0,-260.0,34.0,34.0,34.0,-231.0,111.0,111.0,198.0,81.0,0.0,-7.0,0.0,-229.0,0.0,-27.0,0.0,-329.0,18.0,18.0,41.0,-75.0,111.0,111.0,296.0,-1267.0,False
46,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_46.txt,112.0,112.0,196.0,181.0,64.0,64.0,68.0,-92.0,0.0,-4.0,0.0,-270.0,78.0,78.0,187.0,146.0,26.0,26.0,26.0,-307.0,8.0,8.0,8.0,-263.0,0.0,-8.0,0.0,-364.0,112.0,112.0,485.0,-969.0,False
47,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_47.txt,9.0,9.0,9.0,-428.0,77.0,77.0,230.0,213.0,4.0,4.0,4.0,-307.0,0.0,-31.0,0.0,-410.0,24.0,24.0,24.0,-239.0,42.0,42.0,42.0,-257.0,0.0,-39.0,0.0,-405.0,77.0,77.0,309.0,-1833.0,False
48,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_48.txt,80.0,80.0,169.0,105.0,82.0,82.0,167.0,17.0,51.0,51.0,51.0,-204.0,61.0,61.0,61.0,-269.0,65.0,65.0,74.0,-163.0,24.0,24.0,24.0,-258.0,56.0,56.0,56.0,-318.0,82.0,82.0,602.0,-1090.0,False
49,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_49.txt,80.0,80.0,178.0,107.0,24.0,24.0,24.0,-325.0,6.0,6.0,6.0,-371.0,14.0,14.0,14.0,-371.0,0.0,-33.0,0.0,-454.0,33.0,33.0,59.0,-139.0,0.0,-37.0,0.0,-515.0,80.0,80.0,281.0,-2068.0,False
50,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_50.txt,0.0,-15.0,0.0,-345.0,34.0,34.0,61.0,-88.0,0.0,-17.0,0.0,-444.0,0.0,-3.0,0.0,-340.0,0.0,-14.0,0.0,-333.0,72.0,72.0,152.0,-49.0,0.0,-45.0,0.0,-457.0,72.0,72.0,213.0,-2056.0,False
51,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_51.txt,58.0,58.0,104.0,-95.0,51.0,51.0,102.0,-91.0,25.0,25.0,45.0,-315.0,87.0,87.0,87.0,-356.0,42.0,42.0,42.0,-409.0,80.0,80.0,80.0,-259.0,0.0,-73.0,0.0,-673.0,87.0,87.0,460.0,-2198.0,False
52,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_52.txt,24.0,24.0,24.0,-463.0,65.0,65.0,65.0,-518.0,123.0,123.0,127.0,-146.0,52.0,52.0,82.0,-314.0,109.0,109.0,458.0,458.0,0.0,-58.0,0.0,-743.0,58.0,58.0,58.0,-508.0,123.0,123.0,814.0,-2234.0,False
53,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_53.txt,251.0,251.0,618.0,531.0,57.0,57.0,153.0,16.0,66.0,66.0,152.0,-198.0,81.0,81.0,218.0,-28.0,57.0,57.0,102.0,-225.0,0.0,0.0,0.0,-597.0,0.0,0.0,0.0,-597.0,251.0,251.0,1243.0,-1098.0,False
54,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_54.txt,3.0,3.0,3.0,-420.0,70.0,70.0,138.0,-44.0,113.0,113.0,129.0,-74.0,97.0,97.0,119.0,-264.0,0.0,-63.0,0.0,-722.0,19.0,19.0,19.0,-498.0,62.0,62.0,62.0,-228.0,113.0,113.0,470.0,-2250.0,False
55,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_55.txt,17.0,17.0,17.0,-254.0,31.0,31.0,47.0,-163.0,18.0,18.0,30.0,-104.0,0.0,-15.0,0.0,-422.0,43.0,43.0,43.0,-241.0,0.0,-3.0,0.0,-312.0,128.0,128.0,280.0,278.0,128.0,128.0,417.0,-1218.0,False
56,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_56.txt,129.0,129.0,300.0,36.0,36.0,36.0,50.0,-462.0,92.0,92.0,123.0,-277.0,95.0,95.0,271.0,230.0,0.0,0.0,0.0,-740.0,0.0,0.0,0.0,-740.0,132.0,132.0,227.0,-158.0,132.0,132.0,971.0,-2111.0,False
57,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_57.txt,0.0,-10.0,0.0,-325.0,0.0,-12.0,0.0,-334.0,8.0,8.0,9.0,-218.0,18.0,18.0,46.0,-104.0,10.0,10.0,10.0,-298.0,0.0,-1.0,0.0,-294.0,0.0,-14.0,0.0,-299.0,18.0,18.0,65.0,-1872.0,False
58,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_58.txt,0.0,-6.0,0.0,-411.0,100.0,100.0,197.0,140.0,20.0,20.0,22.0,-328.0,69.0,69.0,179.0,105.0,0.0,-19.0,0.0,-429.0,37.0,37.0,37.0,-341.0,0.0,-27.0,0.0,-437.0,100.0,100.0,435.0,-1701.0,False
59,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_59.txt,15.0,15.0,15.0,-275.0,53.0,53.0,82.0,45.0,28.0,28.0,28.0,-193.0,53.0,53.0,70.0,-61.0,0.0,-1.0,0.0,-319.0,0.0,-24.0,0.0,-434.0,0.0,-42.0,0.0,-467.0,53.0,53.0,195.0,-1704.0,False
60,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_60.txt,30.0,30.0,48.0,-306.0,48.0,48.0,48.0,-321.0,0.0,-4.0,0.0,-520.0,0.0,-12.0,0.0,-514.0,0.0,-16.0,0.0,-525.0,65.0,65.0,127.0,-125.0,30.0,30.0,30.0,-250.0,65.0,65.0,253.0,-2561.0,False
61,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_61.txt,46.0,46.0,66.0,-154.0,71.0,71.0,163.0,150.0,48.0,48.0,54.0,-156.0,50.0,50.0,50.0,-280.0,0.0,-1.0,0.0,-213.0,0.0,-16.0,0.0,-320.0,48.0,48.0,99.0,39.0,71.0,71.0,432.0,-934.0,False
62,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_62.txt,96.0,96.0,182.0,96.0,145.0,145.0,264.0,84.0,23.0,23.0,52.0,-184.0,50.0,50.0,57.0,-222.0,0.0,-19.0,0.0,-480.0,19.0,19.0,19.0,-441.0,0.0,0.0,0.0,-356.0,145.0,145.0,574.0,-1503.0,False
63,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_63.txt,46.0,46.0,73.0,-64.0,9.0,9.0,9.0,-433.0,0.0,-52.0,0.0,-420.0,49.0,49.0,61.0,-67.0,7.0,7.0,7.0,-379.0,0.0,-17.0,0.0,-376.0,0.0,-18.0,0.0,-425.0,49.0,49.0,150.0,-2164.0,False
64,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_64.txt,44.0,44.0,101.0,17.0,22.0,22.0,22.0,-240.0,67.0,67.0,74.0,-15.0,0.0,-10.0,0.0,-307.0,15.0,15.0,15.0,-283.0,0.0,-22.0,0.0,-403.0,0.0,-3.0,0.0,-249.0,67.0,67.0,212.0,-1480.0,False
65,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_65.txt,26.0,26.0,41.0,-256.0,5.0,5.0,5.0,-346.0,80.0,80.0,380.0,380.0,0.0,-10.0,0.0,-470.0,0.0,-8.0,0.0,-276.0,0.0,-10.0,0.0,-350.0,0.0,-10.0,0.0,-328.0,80.0,80.0,426.0,-1646.0,False
66,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_66.txt,66.0,66.0,66.0,-477.0,79.0,79.0,79.0,-525.0,4.0,4.0,4.0,-419.0,71.0,71.0,71.0,-347.0,0.0,-69.0,0.0,-806.0,146.0,146.0,275.0,66.0,77.0,77.0,204.0,93.0,146.0,146.0,699.0,-2415.0,False
67,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_67.txt,44.0,44.0,59.0,-91.0,16.0,16.0,16.0,-347.0,0.0,0.0,0.0,-372.0,32.0,32.0,100.0,34.0,9.0,9.0,9.0,-325.0,4.0,4.0,4.0,-316.0,0.0,-15.0,0.0,-388.0,44.0,44.0,188.0,-1805.0,False
68,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_68.txt,19.0,19.0,19.0,-356.0,153.0,153.0,397.0,368.0,4.0,4.0,4.0,-519.0,4.0,4.0,4.0,-357.0,0.0,-25.0,0.0,-557.0,0.0,-18.0,0.0,-503.0,0.0,-22.0,0.0,-452.0,153.0,153.0,424.0,-2376.0,False
69,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_69.txt,55.0,55.0,81.0,-107.0,97.0,97.0,97.0,-71.0,76.0,76.0,94.0,3.0,30.0,30.0,30.0,-93.0,0.0,-36.0,0.0,-488.0,78.0,78.0,119.0,14.0,139.0,139.0,672.0,672.0,139.0,139.0,1093.0,-70.0,False
70,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_70.txt,5.0,5.0,5.0,-293.0,0.0,-11.0,0.0,-237.0,54.0,54.0,54.0,-252.0,91.0,91.0,131.0,108.0,78.0,78.0,121.0,45.0,75.0,75.0,75.0,-333.0,0.0,-57.0,0.0,-601.0,91.0,91.0,386.0,-1563.0,False
71,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_71.txt,60.0,60.0,89.0,-11.0,0.0,-9.0,0.0,-367.0,43.0,43.0,43.0,-284.0,136.0,136.0,184.0,-30.0,0.0,-14.0,0.0,-285.0,29.0,29.0,29.0,-288.0,41.0,41.0,41.0,-311.0,136.0,136.0,386.0,-1576.0,False
72,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_72.txt,180.0,180.0,551.0,471.0,35.0,35.0,39.0,-526.0,40.0,40.0,58.0,-425.0,0.0,0.0,0.0,-790.0,0.0,0.0,0.0,-790.0,85.0,85.0,133.0,-473.0,178.0,178.0,558.0,379.0,180.0,180.0,1339.0,-2154.0,False
73,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_73.txt,96.0,96.0,126.0,79.0,87.0,87.0,213.0,101.0,29.0,29.0,29.0,-543.0,91.0,91.0,141.0,-276.0,119.0,119.0,124.0,-84.0,60.0,60.0,64.0,-421.0,0.0,-48.0,0.0,-721.0,119.0,119.0,697.0,-1865.0,False
