Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
26,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_26.txt,12.0,12.0,12.0,-45.0,50.0,50.0,122.0,94.0,6.0,6.0,6.0,-191.0,0.0,-19.0,0.0,-219.0,0.0,-30.0,0.0,-287.0,0.0,-11.0,0.0,-221.0,50.0,50.0,140.0,-869.0,False
27,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_27.txt,0.0,-31.0,0.0,-461.0,39.0,39.0,73.0,-58.0,37.0,37.0,61.0,-89.0,15.0,15.0,15.0,-246.0,0.0,-10.0,0.0,-469.0,0.0,-47.0,0.0,-495.0,39.0,39.0,149.0,-1818.0,False
28,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_28.txt,0.0,-39.0,0.0,-447.0,0.0,-9.0,0.0,-351.0,56.0,56.0,88.0,-145.0,0.0,-37.0,0.0,-480.0,1.0,1.0,1.0,-239.0,0.0,-14.0,0.0,-302.0,56.0,56.0,89.0,-1964.0,False
29,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_29.txt,34.0,34.0,34.0,-522.0,108.0,108.0,154.0,-41.0,0.0,-72.0,0.0,-749.0,144.0,144.0,197.0,-10.0,73.0,73.0,151.0,-70.0,12.0,12.0,12.0,-603.0,144.0,144.0,548.0,-1995.0,False
30,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_30.txt,127.0,127.0,209.0,-172.0,154.0,154.0,208.0,-143.0,201.0,201.0,255.0,-43.0,115.0,115.0,151.0,-275.0,0.0,0.0,0.0,-838.0,0.0,0.0,0.0,-838.0,201.0,201.0,823.0,-2309.0,False
31,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_31.txt,149.0,149.0,175.0,30.0,101.0,101.0,167.0,72.0,98.0,98.0,105.0,-186.0,23.0,23.0,23.0,-303.0,73.0,73.0,73.0,-338.0,0.0,-67.0,0.0,-607.0,149.0,149.0,543.0,-1332.0,False
32,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_32.txt,8.0,8.0,8.0,-196.0,0.0,-54.0,0.0,-463.0,8.0,8.0,8.0,-431.0,0.0,-18.0,0.0,-490.0,50.0,50.0,95.0,-109.0,1.0,1.0,1.0,-142.0,50.0,50.0,112.0,-1831.0,False
33,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_33.txt,89.0,89.0,130.0,-14.0,17.0,17.0,17.0,-283.0,77.0,77.0,77.0,-392.0,118.0,118.0,254.0,240.0,0.0,-45.0,0.0,-519.0,11.0,11.0,21.0,-62.0,118.0,118.0,499.0,-1030.0,False
34,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_34.txt,24.0,24.0,24.0,-146.0,49.0,49.0,90.0,-59.0,0.0,-1.0,0.0,-358.0,0.0,-49.0,0.0,-390.0,0.0,-12.0,0.0,-286.0,0.0,-44.0,0.0,-440.0,49.0,49.0,114.0,-1679.0,False
35,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_35.txt,35.0,35.0,51.0,-31.0,28.0,28.0,33.0,-248.0,7.0,7.0,8.0,-161.0,27.0,27.0,27.0,-354.0,0.0,-59.0,0.0,-522.0,0.0,-15.0,0.0,-481.0,35.0,35.0,119.0,-1797.0,False
36,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_36.txt,93.0,93.0,180.0,121.0,56.0,56.0,56.0,-172.0,66.0,66.0,102.0,-111.0,5.0,5.0,5.0,-362.0,3.0,3.0,3.0,-315.0,11.0,11.0,11.0,-237.0,93.0,93.0,357.0,-1076.0,False
37,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_37.txt,0.0,-6.0,0.0,-96.0,0.0,-14.0,0.0,-369.0,0.0,-11.0,0.0,-402.0,52.0,52.0,73.0,-102.0,66.0,66.0,125.0,-40.0,0.0,-24.0,0.0,-448.0,66.0,66.0,198.0,-1457.0,False
38,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_38.txt,126.0,126.0,160.0,12.0,84.0,84.0,84.0,-348.0,0.0,-71.0,0.0,-766.0,61.0,61.0,61.0,-504.0,123.0,123.0,269.0,182.0,11.0,11.0,11.0,-522.0,126.0,126.0,585.0,-1946.0,False
39,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_39.txt,53.0,53.0,59.0,-225.0,0.0,-30.0,0.0,-470.0,0.0,-43.0,0.0,-426.0,4.0,4.0,4.0,-373.0,0.0,-12.0,0.0,-136.0,46.0,46.0,60.0,-155.0,53.0,53.0,123.0,-1785.0,False
40,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_40.txt,0.0,-4.0,0.0,-264.0,85.0,85.0,97.0,62.0,0.0,-2.0,0.0,-357.0,0.0,-5.0,0.0,-373.0,8.0,8.0,11.0,-154.0,0.0,-42.0,0.0,-382.0,85.0,85.0,108.0,-1468.0,False
41,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_41.txt,26.0,26.0,46.0,-37.0,0.0,-5.0,0.0,-467.0,35.0,35.0,49.0,-222.0,0.0,-67.0,0.0,-573.0,0.0,-25.0,0.0,-455.0,9.0,9.0,11.0,-245.0,35.0,35.0,106.0,-1999.0,False
42,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_42.txt,67.0,67.0,78.0,-14.0,114.0,114.0,136.0,53.0,71.0,71.0,101.0,-27.0,35.0,35.0,35.0,-26.0,21.0,21.0,21.0,-199.0,0.0,-10.0,0.0,-219.0,114.0,114.0,371.0,-432.0,False
43,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_43.txt,77.0,77.0,201.0,172.0,43.0,43.0,68.0,-187.0,58.0,58.0,111.0,-188.0,0.0,-45.0,0.0,-507.0,27.0,27.0,27.0,-298.0,50.0,50.0,50.0,-195.0,77.0,77.0,457.0,-1203.0,False
44,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_44.txt,21.0,21.0,22.0,-80.0,107.0,107.0,236.0,195.0,39.0,39.0,44.0,-15.0,28.0,28.0,51.0,-220.0,80.0,80.0,80.0,-281.0,59.0,59.0,59.0,-302.0,107.0,107.0,492.0,-703.0,False
45,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_45.txt,4.0,4.0,4.0,-434.0,0.0,-88.0,0.0,-756.0,143.0,143.0,280.0,256.0,73.0,73.0,101.0,-182.0,80.0,80.0,141.0,-180.0,76.0,76.0,76.0,-366.0,143.0,143.0,602.0,-1662.0,False
46,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_46.txt,147.0,147.0,291.0,152.0,4.0,4.0,4.0,-372.0,0.0,-20.0,0.0,-427.0,0.0,-35.0,0.0,-417.0,0.0,-36.0,0.0,-477.0,28.0,28.0,40.0,-160.0,147.0,147.0,335.0,-1701.0,False
47,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_47.txt,89.0,89.0,89.0,-420.0,38.0,38.0,71.0,-128.0,0.0,-77.0,0.0,-760.0,73.0,73.0,162.0,71.0,48.0,48.0,48.0,-460.0,98.0,98.0,106.0,-76.0,98.0,98.0,476.0,-1773.0,False
48,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_48.txt,68.0,68.0,140.0,127.0,16.0,16.0,28.0,-92.0,4.0,4.0,4.0,-364.0,22.0,22.0,22.0,-229.0,19.0,19.0,31.0,-72.0,0.0,-37.0,0.0,-347.0,68.0,68.0,225.0,-977.0,False
49,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_49.txt,1.0,1.0,1.0,-257.0,44.0,44.0,44.0,-178.0,32.0,32.0,54.0,-12.0,0.0,-72.0,0.0,-553.0,0.0,-44.0,0.0,-462.0,0.0,-24.0,0.0,-459.0,44.0,44.0,99.0,-1921.0,False
50,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_50.txt,0.0,-64.0,0.0,-381.0,0.0,-57.0,0.0,-467.0,13.0,13.0,13.0,-111.0,0.0,-26.0,0.0,-408.0,0.0,-17.0,0.0,-353.0,25.0,25.0,32.0,-86.0,25.0,25.0,45.0,-1806.0,False
51,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_51.txt,67.0,67.0,85.0,-81.0,86.0,86.0,108.0,47.0,51.0,51.0,51.0,-227.0,0.0,-31.0,0.0,-413.0,0.0,-3.0,0.0,-343.0,0.0,-20.0,0.0,-377.0,86.0,86.0,244.0,-1394.0,False
52,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_52.txt,202.0,202.0,356.0,287.0,33.0,33.0,33.0,-436.0,144.0,144.0,229.0,-121.0,0.0,-16.0,0.0,-718.0,145.0,145.0,238.0,-38.0,31.0,31.0,31.0,-452.0,202.0,202.0,887.0,-1478.0,False
53,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_53.txt,108.0,108.0,220.0,137.0,47.0,47.0,47.0,-268.0,25.0,25.0,25.0,-337.0,43.0,43.0,69.0,-93.0,29.0,29.0,75.0,-52.0,0.0,-7.0,0.0,-291.0,108.0,108.0,436.0,-904.0,False
54,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_54.txt,72.0,72.0,114.0,-8.0,8.0,8.0,8.0,-295.0,41.0,41.0,42.0,-194.0,38.0,38.0,38.0,-232.0,9.0,9.0,9.0,-357.0,75.0,75.0,208.0,185.0,75.0,75.0,419.0,-901.0,False
55,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_55.txt,160.0,160.0,248.0,67.0,0.0,-3.0,0.0,-355.0,110.0,110.0,133.0,42.0,0.0,-4.0,0.0,-381.0,18.0,18.0,18.0,-405.0,48.0,48.0,67.0,-190.0,160.0,160.0,466.0,-1222.0,False
56,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_56.txt,66.0,66.0,66.0,-80.0,112.0,112.0,141.0,46.0,36.0,36.0,64.0,-94.0,128.0,128.0,128.0,-171.0,60.0,60.0,60.0,-308.0,0.0,-84.0,0.0,-606.0,128.0,128.0,459.0,-1213.0,False
57,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_57.txt,68.0,68.0,115.0,-5.0,7.0,7.0,7.0,-221.0,21.0,21.0,21.0,-297.0,4.0,4.0,4.0,-259.0,0.0,-14.0,0.0,-394.0,115.0,115.0,300.0,288.0,115.0,115.0,447.0,-888.0,False
58,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_58.txt,95.0,95.0,181.0,-62.0,70.0,70.0,70.0,-399.0,47.0,47.0,47.0,-428.0,0.0,-84.0,0.0,-731.0,52.0,52.0,52.0,-498.0,162.0,162.0,255.0,86.0,162.0,162.0,605.0,-2032.0,False
59,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_59.txt,60.0,60.0,120.0,-395.0,70.0,70.0,70.0,-511.0,0.0,-22.0,0.0,-735.0,136.0,136.0,362.0,285.0,116.0,116.0,249.0,49.0,62.0,62.0,62.0,-448.0,136.0,136.0,863.0,-1755.0,False
60,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_60.txt,37.0,37.0,68.0,-61.0,113.0,113.0,130.0,25.0,75.0,75.0,75.0,-244.0,0.0,-5.0,0.0,-430.0,136.0,136.0,136.0,-151.0,0.0,-3.0,0.0,-379.0,136.0,136.0,409.0,-1240.0,False
61,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_61.txt,105.0,105.0,163.0,88.0,49.0,49.0,49.0,-295.0,0.0,-72.0,0.0,-629.0,51.0,51.0,51.0,-371.0,97.0,97.0,125.0,6.0,44.0,44.0,84.0,-242.0,105.0,105.0,472.0,-1443.0,False
62,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_62.txt,0.0,-22.0,0.0,-302.0,14.0,14.0,14.0,-187.0,34.0,34.0,41.0,-55.0,0.0,-16.0,0.0,-457.0,19.0,19.0,19.0,-158.0,0.0,-25.0,0.0,-387.0,34.0,34.0,74.0,-1546.0,False
63,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_63.txt,102.0,102.0,166.0,37.0,100.0,100.0,189.0,-4.0,169.0,169.0,370.0,137.0,30.0,30.0,30.0,-357.0,52.0,52.0,56.0,-444.0,0.0,-14.0,0.0,-481.0,169.0,169.0,811.0,-1112.0,False
64,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_64.txt,140.0,140.0,246.0,78.0,0.0,-87.0,0.0,-805.0,49.0,49.0,49.0,-488.0,68.0,68.0,68.0,-505.0,90.0,90.0,92.0,-206.0,136.0,136.0,181.0,-198.0,140.0,140.0,636.0,-2124.0,False
65,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_65.txt,20.0,20.0,21.0,-138.0,0.0,-30.0,0.0,-348.0,70.0,70.0,116.0,6.0,31.0,31.0,31.0,-263.0,3.0,3.0,5.0,-139.0,0.0,-24.0,0.0,-278.0,70.0,70.0,173.0,-1160.0,False
66,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_66.txt,56.0,56.0,59.0,-188.0,19.0,19.0,39.0,-15.0,0.0,-11.0,0.0,-471.0,3.0,3.0,6.0,-171.0,0.0,0.0,0.0,-421.0,0.0,-14.0,0.0,-438.0,56.0,56.0,104.0,-1704.0,False
67,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_67.txt,145.0,145.0,160.0,123.0,130.0,130.0,147.0,-33.0,0.0,-2.0,0.0,-348.0,20.0,20.0,20.0,-428.0,0.0,-3.0,0.0,-374.0,90.0,90.0,94.0,-150.0,145.0,145.0,421.0,-1210.0,False
68,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_68.txt,45.0,45.0,120.0,43.0,61.0,61.0,62.0,-71.0,4.0,4.0,4.0,-228.0,0.0,-21.0,0.0,-303.0,0.0,-9.0,0.0,-273.0,8.0,8.0,8.0,-116.0,61.0,61.0,194.0,-948.0,False
69,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_69.txt,51.0,51.0,99.0,-505.0,105.0,105.0,172.0,-363.0,0.0,0.0,0.0,-769.0,212.0,212.0,340.0,221.0,135.0,135.0,264.0,100.0,0.0,0.0,0.0,-769.0,212.0,212.0,875.0,-2085.0,False
70,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_70.txt,0.0,-10.0,0.0,-327.0,76.0,76.0,129.0,82.0,0.0,-14.0,0.0,-373.0,43.0,43.0,76.0,-70.0,0.0,-6.0,0.0,-421.0,1.0,1.0,1.0,-240.0,76.0,76.0,206.0,-1349.0,False
71,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_71.txt,0.0,-1.0,0.0,-500.0,7.0,7.0,7.0,-364.0,56.0,56.0,105.0,-121.0,46.0,46.0,84.0,44.0,0.0,-8.0,0.0,-353.0,0.0,-56.0,0.0,-543.0,56.0,56.0,196.0,-1837.0,False
72,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_72.txt,50.0,50.0,50.0,-318.0,76.0,76.0,136.0,-27.0,102.0,102.0,155.0,98.0,0.0,-51.0,0.0,-488.0,0.0,-12.0,0.0,-438.0,21.0,21.0,21.0,-361.0,102.0,102.0,362.0,-1534.0,False
73,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_73.txt,0.0,-35.0,0.0,-353.0,37.0,37.0,59.0,-71.0,0.0,-21.0,0.0,-357.0,0.0,-47.0,0.0,-483.0,0.0,-3.0,0.0,-292.0,23.0,23.0,23.0,-194.0,37.0,37.0,82.0,-1750.0,False
74,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_74.txt,51.0,51.0,80.0,22.0,1.0,1.0,1.0,-329.0,0.0,-13.0,0.0,-369.0,0.0,-16.0,0.0,-369.0,0.0,-54.0,0.0,-417.0,121.0,121.0,364.0,363.0,121.0,121.0,445.0,-1099.0,False
75,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_75.txt,37.0,37.0,65.0,17.0,38.0,38.0,75.0,-168.0,110.0,110.0,112.0,-155.0,72.0,72.0,72.0,-304.0,56.0,56.0,56.0,-365.0,0.0,-39.0,0.0,-468.0,110.0,110.0,380.0,-1443.0,False
76,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_76.txt,81.0,81.0,155.0,132.0,70.0,70.0,94.0,-20.0,84.0,84.0,191.0,161.0,42.0,42.0,80.0,-89.0,0.0,-15.0,0.0,-223.0,19.0,19.0,44.0,-23.0,84.0,84.0,564.0,-62.0,False
77,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_77.txt,0.0,-2.0,0.0,-409.0,0.0,-26.0,0.0,-409.0,0.0,-1.0,0.0,-255.0,108.0,108.0,156.0,115.0,0.0,-49.0,0.0,-495.0,29.0,29.0,56.0,-52.0,108.0,108.0,212.0,-1505.0,False
78,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_78.txt,10.0,10.0,10.0,-119.0,66.0,66.0,145.0,106.0,15.0,15.0,15.0,-202.0,7.0,7.0,11.0,-226.0,4.0,4.0,4.0,-176.0,9.0,9.0,9.0,-239.0,66.0,66.0,194.0,-856.0,False
79,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_79.txt,4.0,4.0,4.0,-321.0,4.0,4.0,4.0,-44.0,0.0,-51.0,0.0,-443.0,0.0,-44.0,0.0,-421.0,0.0,-31.0,0.0,-325.0,37.0,37.0,37.0,-205.0,37.0,37.0,45.0,-1759.0,False
80,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_80.txt,10.0,10.0,10.0,-567.0,0.0,-53.0,0.0,-744.0,25.0,25.0,25.0,-370.0,142.0,142.0,441.0,441.0,34.0,34.0,41.0,-455.0,60.0,60.0,60.0,-334.0,142.0,142.0,577.0,-2029.0,False
81,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_81.txt,14.0,14.0,14.0,-332.0,0.0,-30.0,0.0,-541.0,0.0,-12.0,0.0,-532.0,9.0,9.0,9.0,-487.0,83.0,83.0,83.0,-232.0,141.0,141.0,384.0,338.0,141.0,141.0,490.0,-1786.0,False
