Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
13,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_13.txt,19.0,19.0,31.0,23.0,0.0,-7.0,0.0,-204.0,25.0,25.0,38.0,-128.0,0.0,-21.0,0.0,-238.0,0.0,-17.0,0.0,-274.0,25.0,25.0,69.0,-821.0,False,15625.0,0.0,5238432000.0,464.0,75.0,4690224000.0,462.0,56.0
14,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_14.txt,38.0,38.0,38.0,-92.0,92.0,92.0,96.0,-51.0,0.0,-6.0,0.0,-218.0,28.0,28.0,28.0,-240.0,0.0,-2.0,0.0,-109.0,92.0,92.0,162.0,-710.0,False,15625.0,0.0,7343510328.0,501.0,82.0,2824810560.0,436.0,38.0
15,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_15.txt,24.0,24.0,24.0,-120.0,0.0,-3.0,0.0,-223.0,0.0,0.0,0.0,-218.0,34.0,34.0,34.0,-23.0,0.0,-6.0,0.0,-246.0,34.0,34.0,58.0,-830.0,False,15625.0,0.0,5802451200.0,511.0,81.0,5802451200.0,475.0,65.0
16,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_16.txt,0.0,-94.0,0.0,-543.0,135.0,135.0,205.0,161.0,57.0,57.0,57.0,-234.0,4.0,4.0,4.0,-385.0,122.0,122.0,122.0,-55.0,135.0,135.0,388.0,-1056.0,False,15625.0,0.0,12377622960.0,558.0,92.0,0.0,543.0,0.0
17,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_17.txt,31.0,31.0,38.0,-281.0,12.0,12.0,12.0,-346.0,0.0,-30.0,0.0,-452.0,56.0,56.0,56.0,-162.0,153.0,153.0,342.0,287.0,153.0,153.0,448.0,-954.0,False,15625.0,0.0,4391682048.0,463.0,67.0,0.0,452.0,0.0
18,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_18.txt,0.0,-51.0,0.0,-313.0,0.0,-30.0,0.0,-186.0,0.0,-10.0,0.0,-234.0,0.0,-4.0,0.0,-162.0,59.0,59.0,95.0,-3.0,59.0,59.0,95.0,-898.0,False,15625.0,0.0,7115717280.0,491.0,81.0,5859208320.0,458.0,70.0
19,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_19.txt,72.0,72.0,110.0,78.0,46.0,46.0,46.0,-117.0,8.0,8.0,13.0,-133.0,0.0,-3.0,0.0,-200.0,0.0,-42.0,0.0,-291.0,72.0,72.0,169.0,-663.0,False,15625.0,0.0,3503708000.0,440.0,71.0,2033607600.0,421.0,25.0
20,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_20.txt,36.0,36.0,98.0,98.0,0.0,-32.0,0.0,-220.0,0.0,-14.0,0.0,-188.0,0.0,-18.0,0.0,-223.0,0.0,-37.0,0.0,-241.0,36.0,36.0,98.0,-774.0,False,15625.0,0.0,4501116928.0,454.0,68.0,3709418496.0,428.0,64.0
21,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_21.txt,31.0,31.0,52.0,38.0,0.0,-1.0,0.0,-201.0,0.0,-34.0,0.0,-296.0,0.0,-23.0,0.0,-235.0,0.0,-15.0,0.0,-198.0,31.0,31.0,52.0,-892.0,False,15625.0,0.0,6685347072.0,546.0,74.0,6330530304.0,477.0,53.0
22,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_22.txt,0.0,-17.0,0.0,-141.0,0.0,-8.0,0.0,-81.0,0.0,-3.0,0.0,-135.0,49.0,49.0,105.0,105.0,0.0,-16.0,0.0,-202.0,49.0,49.0,105.0,-454.0,False,15625.0,0.0,4141724224.0,456.0,64.0,2257453440.0,379.0,55.0
23,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_23.txt,15.0,15.0,19.0,-70.0,24.0,24.0,40.0,-37.0,0.0,-37.0,0.0,-210.0,0.0,-8.0,0.0,-184.0,0.0,-9.0,0.0,-124.0,24.0,24.0,59.0,-625.0,False,15625.0,0.0,6852457920.0,490.0,82.0,5117067648.0,443.0,67.0
24,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_24.txt,30.0,30.0,30.0,-220.0,56.0,56.0,58.0,-54.0,0.0,-42.0,0.0,-356.0,0.0,-9.0,0.0,-243.0,0.0,-25.0,0.0,-301.0,56.0,56.0,88.0,-1174.0,False,15625.0,0.0,5801507712.0,490.0,78.0,4969508544.0,480.0,52.0
25,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_25.txt,7.0,7.0,7.0,-193.0,102.0,102.0,130.0,87.0,20.0,20.0,20.0,-171.0,30.0,30.0,30.0,-149.0,0.0,-1.0,0.0,-144.0,102.0,102.0,187.0,-570.0,False,15625.0,0.0,5593311000.0,509.0,81.0,1440359820.0,389.0,31.0
26,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_26.txt,64.0,64.0,121.0,79.0,0.0,-15.0,0.0,-148.0,0.0,-7.0,0.0,-184.0,0.0,-6.0,0.0,-137.0,8.0,8.0,8.0,-42.0,64.0,64.0,129.0,-432.0,False,15625.0,0.0,4459815360.0,508.0,65.0,2910357450.0,396.0,65.0
27,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_27.txt,124.0,124.0,146.0,95.0,0.0,-35.0,0.0,-244.0,0.0,-27.0,0.0,-286.0,21.0,21.0,21.0,-240.0,4.0,4.0,4.0,-168.0,124.0,124.0,171.0,-843.0,False,15625.0,0.0,11985485288.0,533.0,92.0,6043779000.0,495.0,45.0
28,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_28.txt,53.0,53.0,85.0,36.0,0.0,-5.0,0.0,-250.0,0.0,-16.0,0.0,-193.0,0.0,-6.0,0.0,-201.0,35.0,35.0,35.0,-213.0,53.0,53.0,120.0,-821.0,False,15625.0,0.0,8562001280.0,503.0,80.0,4623395760.0,446.0,59.0
29,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_29.txt,93.0,93.0,238.0,216.0,22.0,22.0,22.0,-144.0,0.0,-1.0,0.0,-178.0,0.0,-11.0,0.0,-82.0,38.0,38.0,58.0,39.0,93.0,93.0,318.0,-149.0,False,15625.0,0.0,7412739840.0,531.0,85.0,2556002304.0,407.0,36.0
30,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_30.txt,1.0,1.0,1.0,-280.0,0.0,-66.0,0.0,-507.0,137.0,137.0,309.0,309.0,58.0,58.0,58.0,-198.0,46.0,46.0,46.0,-212.0,137.0,137.0,414.0,-888.0,False,15625.0,0.0,4987677600.0,510.0,69.0,0.0,507.0,0.0
31,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_31.txt,0.0,-35.0,0.0,-184.0,4.0,4.0,8.0,-110.0,10.0,10.0,10.0,-11.0,35.0,35.0,35.0,-107.0,0.0,-2.0,0.0,-182.0,35.0,35.0,53.0,-594.0,False,15625.0,1.0,2461916457.0,444.0,53.0,1586242112.0,360.0,41.0
32,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_32.txt,4.0,4.0,4.0,-133.0,54.0,54.0,54.0,-108.0,0.0,-19.0,0.0,-192.0,43.0,43.0,83.0,-26.0,27.0,27.0,27.0,-116.0,54.0,54.0,168.0,-575.0,False,15625.0,0.0,6072498705.0,486.0,83.0,1420719300.0,356.0,39.0
33,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_33.txt,71.0,71.0,217.0,217.0,21.0,21.0,24.0,-111.0,8.0,8.0,8.0,-214.0,24.0,24.0,24.0,-208.0,0.0,-39.0,0.0,-263.0,71.0,71.0,273.0,-579.0,False,15625.0,0.0,5770371744.0,469.0,76.0,2706213510.0,412.0,39.0
34,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_34.txt,61.0,61.0,61.0,-191.0,49.0,49.0,49.0,-299.0,134.0,134.0,198.0,85.0,2.0,2.0,2.0,-299.0,0.0,-56.0,0.0,-476.0,134.0,134.0,310.0,-1180.0,False,15625.0,0.0,4768649424.0,476.0,69.0,0.0,476.0,0.0
35,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_35.txt,69.0,69.0,125.0,119.0,0.0,-18.0,0.0,-111.0,21.0,21.0,21.0,-67.0,0.0,-27.0,0.0,-229.0,0.0,-21.0,0.0,-218.0,69.0,69.0,146.0,-506.0,False,15625.0,0.0,2777882688.0,420.0,57.0,1180400688.0,359.0,29.0
36,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_36.txt,62.0,62.0,97.0,95.0,0.0,-10.0,0.0,-181.0,0.0,-1.0,0.0,-168.0,0.0,-50.0,0.0,-299.0,0.0,0.0,0.0,-235.0,62.0,62.0,97.0,-788.0,False,15625.0,0.0,4481869392.0,442.0,68.0,3771239472.0,442.0,57.0
37,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_37.txt,89.0,89.0,89.0,30.0,12.0,12.0,12.0,-104.0,79.0,79.0,79.0,-124.0,86.0,86.0,86.0,-1.0,67.0,67.0,106.0,83.0,89.0,89.0,372.0,-116.0,False,15625.0,0.0,9867110400.0,530.0,84.0,402617600.0,356.0,7.0
38,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_38.txt,0.0,-6.0,0.0,-195.0,0.0,-42.0,0.0,-286.0,0.0,-29.0,0.0,-215.0,67.0,67.0,134.0,134.0,0.0,-32.0,0.0,-299.0,67.0,67.0,134.0,-861.0,False,15625.0,0.0,6696406080.0,502.0,78.0,6198296832.0,492.0,68.0
39,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_39.txt,0.0,-52.0,0.0,-293.0,28.0,28.0,28.0,-73.0,0.0,-42.0,0.0,-305.0,0.0,0.0,0.0,-198.0,0.0,-16.0,0.0,-274.0,28.0,28.0,28.0,-1143.0,False,15625.0,0.0,12564478080.0,534.0,95.0,12564478080.0,530.0,95.0
40,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_40.txt,0.0,-22.0,0.0,-200.0,4.0,4.0,5.0,-65.0,9.0,9.0,9.0,-154.0,12.0,12.0,12.0,-169.0,0.0,-27.0,0.0,-220.0,12.0,12.0,26.0,-808.0,False,15625.0,0.0,5251406820.0,488.0,64.0,4146986250.0,432.0,55.0
41,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_41.txt,4.0,4.0,4.0,-132.0,0.0,-8.0,0.0,-79.0,2.0,2.0,2.0,-137.0,0.0,-8.0,0.0,-216.0,0.0,-5.0,0.0,-131.0,4.0,4.0,6.0,-695.0,False,15625.0,0.0,3945585600.0,494.0,58.0,3945585600.0,428.0,55.0
42,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_42.txt,141.0,141.0,152.0,52.0,29.0,29.0,29.0,-219.0,0.0,-81.0,0.0,-496.0,32.0,32.0,32.0,-356.0,46.0,46.0,82.0,-90.0,141.0,141.0,295.0,-1109.0,False,15625.0,0.0,6949083960.0,496.0,80.0,0.0,496.0,0.0
43,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_43.txt,39.0,39.0,39.0,-199.0,9.0,9.0,9.0,-297.0,0.0,-42.0,0.0,-437.0,113.0,113.0,196.0,150.0,101.0,101.0,163.0,-45.0,113.0,113.0,407.0,-828.0,False,15625.0,0.0,3526082560.0,454.0,70.0,0.0,437.0,0.0
44,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_44.txt,113.0,113.0,214.0,120.0,0.0,-43.0,0.0,-477.0,30.0,30.0,30.0,-356.0,15.0,15.0,15.0,-237.0,49.0,49.0,104.0,-23.0,113.0,113.0,363.0,-973.0,False,15625.0,0.0,5181681960.0,513.0,72.0,0.0,477.0,0.0
45,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_45.txt,42.0,42.0,72.0,65.0,0.0,-21.0,0.0,-177.0,0.0,-42.0,0.0,-308.0,0.0,-3.0,0.0,-163.0,16.0,16.0,16.0,-126.0,42.0,42.0,88.0,-709.0,False,15625.0,0.0,4349972900.0,445.0,68.0,4101797700.0,445.0,65.0
46,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_46.txt,0.0,-8.0,0.0,-175.0,31.0,31.0,44.0,-9.0,0.0,-9.0,0.0,-188.0,0.0,-5.0,0.0,-215.0,38.0,38.0,46.0,-110.0,38.0,38.0,90.0,-697.0,False,15625.0,0.0,4486561200.0,449.0,67.0,2813243436.0,420.0,51.0
47,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_47.txt,0.0,-72.0,0.0,-522.0,103.0,103.0,282.0,282.0,63.0,63.0,63.0,-298.0,24.0,24.0,24.0,-361.0,8.0,8.0,8.0,-268.0,103.0,103.0,377.0,-1167.0,False,15625.0,0.0,5976860400.0,529.0,72.0,0.0,522.0,0.0
48,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_48.txt,16.0,16.0,25.0,-76.0,0.0,-29.0,0.0,-238.0,0.0,-42.0,0.0,-262.0,0.0,-4.0,0.0,-90.0,35.0,35.0,63.0,-14.0,35.0,35.0,88.0,-680.0,False,15625.0,0.0,7281489882.0,494.0,81.0,6781187160.0,465.0,81.0
49,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_49.txt,52.0,52.0,52.0,-253.0,91.0,91.0,91.0,-78.0,0.0,-95.0,0.0,-551.0,110.0,110.0,135.0,31.0,54.0,54.0,54.0,-198.0,110.0,110.0,332.0,-1049.0,False,15625.0,0.0,11695587750.0,551.0,87.0,0.0,551.0,0.0
50,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_50.txt,0.0,-48.0,0.0,-355.0,1.0,1.0,1.0,-31.0,0.0,-68.0,0.0,-362.0,0.0,-24.0,0.0,-189.0,0.0,-19.0,0.0,-305.0,1.0,1.0,1.0,-1242.0,False,15625.0,0.0,9412120720.0,520.0,82.0,9412120720.0,520.0,82.0
51,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_51.txt,62.0,62.0,62.0,-254.0,54.0,54.0,96.0,87.0,48.0,48.0,72.0,-159.0,5.0,5.0,5.0,-191.0,0.0,-27.0,0.0,-218.0,62.0,62.0,235.0,-735.0,False,15625.0,0.0,9593503920.0,530.0,78.0,713837124.0,453.0,6.0
52,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_52.txt,0.0,-15.0,0.0,-213.0,36.0,36.0,89.0,89.0,0.0,-35.0,0.0,-321.0,0.0,-7.0,0.0,-217.0,4.0,4.0,4.0,-245.0,36.0,36.0,93.0,-907.0,False,15625.0,0.0,9272273472.0,518.0,84.0,9197476092.0,518.0,79.0
53,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_53.txt,0.0,0.0,0.0,-526.0,0.0,0.0,0.0,-526.0,0.0,0.0,0.0,-526.0,126.0,126.0,360.0,190.0,178.0,178.0,412.0,196.0,178.0,178.0,772.0,-1192.0,False,15625.0,0.0,5413554000.0,526.0,75.0,0.0,526.0,0.0
54,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_54.txt,0.0,-5.0,0.0,-179.0,47.0,47.0,67.0,26.0,36.0,36.0,54.0,-76.0,0.0,-27.0,0.0,-250.0,0.0,-22.0,0.0,-189.0,47.0,47.0,121.0,-668.0,False,15625.0,0.0,3642136680.0,498.0,62.0,2740366272.0,408.0,53.0
55,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_55.txt,0.0,-25.0,0.0,-198.0,3.0,3.0,3.0,-94.0,42.0,42.0,94.0,54.0,0.0,-7.0,0.0,-180.0,0.0,-3.0,0.0,-231.0,42.0,42.0,97.0,-649.0,False,15625.0,0.0,4413940704.0,489.0,68.0,3846175200.0,431.0,67.0
56,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_56.txt,58.0,58.0,83.0,45.0,0.0,-58.0,0.0,-312.0,41.0,41.0,41.0,-113.0,14.0,14.0,14.0,-134.0,38.0,38.0,49.0,-61.0,58.0,58.0,187.0,-575.0,False,15625.0,0.0,5719334400.0,467.0,78.0,4581158400.0,453.0,48.0
57,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_57.txt,92.0,92.0,92.0,-217.0,26.0,26.0,38.0,-219.0,131.0,131.0,306.0,306.0,0.0,-60.0,0.0,-499.0,12.0,12.0,12.0,-333.0,131.0,131.0,448.0,-962.0,False,15625.0,0.0,7891687872.0,532.0,86.0,0.0,499.0,0.0
58,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_58.txt,74.0,74.0,94.0,52.0,0.0,-3.0,0.0,-205.0,29.0,29.0,29.0,-165.0,0.0,-25.0,0.0,-214.0,0.0,-40.0,0.0,-287.0,74.0,74.0,123.0,-819.0,False,15625.0,1.0,6299889750.0,490.0,77.0,3725152200.0,448.0,40.0
59,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_59.txt,65.0,65.0,125.0,60.0,80.0,80.0,122.0,96.0,4.0,4.0,4.0,-299.0,0.0,-63.0,0.0,-461.0,42.0,42.0,42.0,-288.0,80.0,80.0,293.0,-892.0,False,15625.0,0.0,3051734400.0,461.0,65.0,0.0,461.0,0.0
60,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_60.txt,34.0,34.0,34.0,-40.0,7.0,7.0,7.0,-85.0,0.0,-11.0,0.0,-205.0,0.0,-26.0,0.0,-260.0,0.0,-10.0,0.0,-182.0,34.0,34.0,41.0,-772.0,False,15625.0,0.0,9843649200.0,536.0,89.0,9451272600.0,509.0,70.0
61,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_61.txt,95.0,95.0,95.0,1.0,0.0,-89.0,0.0,-479.0,56.0,56.0,56.0,-271.0,70.0,70.0,70.0,-193.0,54.0,54.0,66.0,-47.0,95.0,95.0,287.0,-989.0,False,15625.0,0.0,6344554392.0,479.0,72.0,0.0,479.0,0.0
62,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_62.txt,54.0,54.0,159.0,159.0,0.0,-54.0,0.0,-327.0,17.0,17.0,22.0,-214.0,38.0,38.0,38.0,-130.0,1.0,1.0,1.0,-236.0,54.0,54.0,220.0,-748.0,False,15625.0,0.0,1954686690.0,421.0,55.0,770398200.0,395.0,13.0
63,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_63.txt,157.0,157.0,299.0,299.0,35.0,35.0,44.0,-156.0,0.0,-65.0,0.0,-477.0,54.0,54.0,54.0,-233.0,15.0,15.0,15.0,-191.0,157.0,157.0,412.0,-758.0,False,15625.0,0.0,5827635840.0,477.0,75.0,0.0,477.0,0.0
64,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_64.txt,0.0,-13.0,0.0,-247.0,13.0,13.0,22.0,-196.0,76.0,76.0,194.0,194.0,37.0,37.0,37.0,-161.0,0.0,-45.0,0.0,-369.0,76.0,76.0,253.0,-779.0,False,15625.0,0.0,5217560865.0,464.0,68.0,3614410800.0,458.0,50.0
65,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_65.txt,159.0,159.0,175.0,-4.0,8.0,8.0,8.0,-285.0,4.0,4.0,4.0,-297.0,137.0,137.0,178.0,138.0,0.0,-67.0,0.0,-502.0,159.0,159.0,365.0,-950.0,False,15625.0,0.0,7432143840.0,505.0,78.0,0.0,502.0,0.0
66,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_66.txt,61.0,61.0,61.0,-120.0,68.0,68.0,148.0,146.0,5.0,5.0,5.0,-130.0,23.0,23.0,23.0,-76.0,18.0,18.0,31.0,-47.0,68.0,68.0,268.0,-227.0,False,15625.0,0.0,2977142784.0,451.0,62.0,33208320.0,330.0,1.0
67,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_67.txt,91.0,91.0,228.0,142.0,95.0,95.0,226.0,111.0,35.0,35.0,51.0,-219.0,0.0,0.0,0.0,-380.0,0.0,0.0,0.0,-380.0,95.0,95.0,505.0,-726.0,False,15625.0,0.0,2194373430.0,411.0,61.0,0.0,380.0,0.0
68,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_68.txt,0.0,-26.0,0.0,-286.0,0.0,-24.0,0.0,-183.0,23.0,23.0,23.0,-168.0,52.0,52.0,54.0,13.0,0.0,-43.0,0.0,-262.0,52.0,52.0,77.0,-886.0,False,15625.0,1.0,3944371200.0,443.0,65.0,3153024000.0,441.0,45.0
69,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_69.txt,0.0,-11.0,0.0,-191.0,0.0,-13.0,0.0,-241.0,0.0,-27.0,0.0,-210.0,0.0,-29.0,0.0,-252.0,0.0,-6.0,0.0,-198.0,0.0,-6.0,0.0,-1092.0,True,15625.0,3.0,8924217120.0,496.0,84.0,8924217120.0,496.0,84.0
70,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_70.txt,0.0,-10.0,0.0,-282.0,4.0,4.0,4.0,-215.0,0.0,-12.0,0.0,-328.0,0.0,-30.0,0.0,-215.0,37.0,37.0,56.0,-19.0,37.0,37.0,60.0,-1059.0,False,15625.0,0.0,12272847840.0,562.0,90.0,12272847840.0,554.0,76.0
71,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_71.txt,105.0,105.0,109.0,100.0,83.0,83.0,127.0,-109.0,46.0,46.0,71.0,-85.0,0.0,-38.0,0.0,-383.0,41.0,41.0,41.0,-147.0,105.0,105.0,348.0,-624.0,False,15625.0,0.0,4316205300.0,498.0,69.0,0.0,383.0,0.0
