Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Agent_7_Max,Agent_7_Max_Unclipped,Agent_7_Sum,Agent_7_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
11,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_11.txt,50.0,50.0,78.0,-70.0,9.0,9.0,9.0,-210.0,22.0,22.0,22.0,-319.0,84.0,84.0,162.0,145.0,0.0,-14.0,0.0,-409.0,11.0,11.0,11.0,-199.0,17.0,17.0,17.0,-204.0,84.0,84.0,299.0,-1266.0,False,5764801.0,0.0,37585122612480.0,686.0,67.0,16380917582400.0,605.0,42.0
12,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_12.txt,30.0,30.0,33.0,-171.0,1.0,1.0,1.0,-154.0,45.0,45.0,54.0,-113.0,0.0,-2.0,0.0,-296.0,58.0,58.0,76.0,-100.0,0.0,-8.0,0.0,-209.0,8.0,8.0,15.0,-66.0,58.0,58.0,179.0,-1109.0,False,5764801.0,0.0,17674006088592.0,644.0,51.0,3368888003520.0,488.0,18.0
13,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_13.txt,0.0,-11.0,0.0,-542.0,66.0,66.0,91.0,-187.0,12.0,12.0,12.0,-217.0,141.0,141.0,205.0,17.0,73.0,73.0,257.0,225.0,2.0,2.0,2.0,-260.0,65.0,65.0,109.0,-108.0,141.0,141.0,676.0,-1072.0,False,5764801.0,0.0,42318200326248.0,719.0,77.0,0.0,542.0,0.0
14,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_14.txt,28.0,28.0,42.0,-80.0,18.0,18.0,18.0,-257.0,12.0,12.0,13.0,-169.0,93.0,93.0,102.0,-231.0,69.0,69.0,69.0,-218.0,2.0,2.0,2.0,-400.0,112.0,112.0,251.0,241.0,112.0,112.0,497.0,-1114.0,False,5764801.0,0.0,90594719956640.0,728.0,86.0,2331062173440.0,558.0,4.0
15,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_15.txt,15.0,15.0,15.0,-180.0,6.0,6.0,9.0,-131.0,0.0,-5.0,0.0,-263.0,0.0,-8.0,0.0,-238.0,0.0,-2.0,0.0,-221.0,0.0,-10.0,0.0,-217.0,58.0,58.0,175.0,117.0,58.0,58.0,199.0,-1133.0,False,5764801.0,0.0,78948509017230.0,732.0,85.0,22672937690676.0,575.0,54.0
16,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_16.txt,24.0,24.0,45.0,-338.0,22.0,22.0,37.0,-577.0,0.0,0.0,0.0,-726.0,169.0,169.0,361.0,349.0,0.0,0.0,0.0,-726.0,44.0,44.0,48.0,-446.0,148.0,148.0,233.0,5.0,169.0,169.0,724.0,-2459.0,False,5764801.0,0.0,52783159836672.0,726.0,73.0,0.0,726.0,0.0
17,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_17.txt,36.0,36.0,36.0,-126.0,5.0,5.0,8.0,-175.0,38.0,38.0,38.0,-164.0,0.0,-42.0,0.0,-320.0,0.0,-13.0,0.0,-323.0,0.0,-22.0,0.0,-293.0,15.0,15.0,19.0,-201.0,38.0,38.0,101.0,-1602.0,False,5764801.0,0.0,63452135092500.0,704.0,75.0,18813483360000.0,560.0,61.0
18,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_18.txt,50.0,50.0,102.0,-389.0,0.0,0.0,0.0,-695.0,33.0,33.0,35.0,-462.0,44.0,44.0,69.0,-429.0,54.0,54.0,83.0,-356.0,174.0,174.0,641.0,641.0,0.0,0.0,0.0,-695.0,174.0,174.0,930.0,-2385.0,False,5764801.0,0.0,40656401992800.0,695.0,68.0,0.0,695.0,0.0
19,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_19.txt,15.0,15.0,15.0,-155.0,0.0,-1.0,0.0,-327.0,0.0,-27.0,0.0,-346.0,0.0,-43.0,0.0,-362.0,0.0,0.0,0.0,-165.0,0.0,-37.0,0.0,-365.0,0.0,-30.0,0.0,-342.0,15.0,15.0,15.0,-2062.0,False,5764801.0,0.0,102773635557120.0,738.0,89.0,49490493212160.0,635.0,76.0
20,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_20.txt,66.0,66.0,82.0,-137.0,85.0,85.0,129.0,-24.0,0.0,0.0,0.0,-317.0,34.0,34.0,63.0,-250.0,34.0,34.0,34.0,-299.0,49.0,49.0,93.0,-116.0,42.0,42.0,42.0,-287.0,85.0,85.0,443.0,-1430.0,False,5764801.0,0.0,90795055150800.0,733.0,78.0,15711383407104.0,613.0,28.0
21,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_21.txt,71.0,71.0,71.0,-130.0,71.0,71.0,71.0,-314.0,14.0,14.0,14.0,-278.0,0.0,-58.0,0.0,-630.0,12.0,12.0,12.0,-271.0,11.0,11.0,11.0,-285.0,102.0,102.0,376.0,376.0,102.0,102.0,555.0,-1532.0,False,5764801.0,0.0,39310501237920.0,708.0,71.0,0.0,630.0,0.0
22,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_22.txt,7.0,7.0,7.0,-307.0,50.0,50.0,87.0,-205.0,14.0,14.0,14.0,-249.0,100.0,100.0,169.0,73.0,43.0,43.0,88.0,-21.0,52.0,52.0,54.0,-343.0,13.0,13.0,13.0,-277.0,100.0,100.0,432.0,-1329.0,False,5764801.0,0.0,52147463688000.0,714.0,72.0,7561836993600.0,584.0,24.0
23,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_23.txt,7.0,7.0,13.0,-114.0,0.0,-12.0,0.0,-227.0,0.0,-5.0,0.0,-232.0,0.0,-9.0,0.0,-273.0,0.0,-6.0,0.0,-172.0,0.0,-5.0,0.0,-206.0,0.0,-1.0,0.0,-95.0,7.0,7.0,13.0,-1319.0,False,5764801.0,0.0,21356853073920.0,639.0,65.0,16688405383650.0,552.0,55.0
24,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_24.txt,0.0,-40.0,0.0,-414.0,43.0,43.0,73.0,-27.0,0.0,-29.0,0.0,-352.0,0.0,-2.0,0.0,-152.0,0.0,-2.0,0.0,-223.0,6.0,6.0,6.0,-237.0,0.0,-17.0,0.0,-360.0,43.0,43.0,79.0,-1765.0,False,5764801.0,0.0,78864823800000.0,707.0,90.0,71094474360000.0,682.0,70.0
25,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_25.txt,0.0,0.0,0.0,-683.0,178.0,178.0,454.0,437.0,0.0,0.0,0.0,-683.0,75.0,75.0,122.0,-339.0,0.0,0.0,0.0,-683.0,119.0,119.0,360.0,73.0,42.0,42.0,109.0,-251.0,178.0,178.0,1045.0,-2129.0,False,5764801.0,0.0,52215653380800.0,687.0,75.0,0.0,683.0,0.0
26,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_26.txt,153.0,153.0,263.0,227.0,45.0,45.0,45.0,-243.0,77.0,77.0,83.0,-284.0,10.0,10.0,10.0,-325.0,19.0,19.0,19.0,-280.0,38.0,38.0,38.0,-221.0,0.0,-12.0,0.0,-332.0,153.0,153.0,458.0,-1458.0,False,5764801.0,0.0,122158604005200.0,758.0,86.0,1539118456260.0,669.0,1.0
27,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_27.txt,23.0,23.0,36.0,-306.0,22.0,22.0,30.0,-65.0,0.0,-2.0,0.0,-344.0,0.0,-26.0,0.0,-429.0,0.0,-1.0,0.0,-273.0,21.0,21.0,21.0,-281.0,0.0,-7.0,0.0,-381.0,23.0,23.0,87.0,-2079.0,False,5764801.0,0.0,49372994415360.0,696.0,75.0,43083850123776.0,665.0,62.0
28,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_28.txt,56.0,56.0,94.0,-4.0,10.0,10.0,18.0,-206.0,66.0,66.0,67.0,-177.0,40.0,40.0,40.0,-252.0,52.0,52.0,74.0,-78.0,19.0,19.0,22.0,-200.0,13.0,13.0,19.0,-191.0,66.0,66.0,334.0,-1108.0,False,5764801.0,0.0,43848222163200.0,738.0,64.0,2353975533000.0,530.0,18.0
29,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_29.txt,64.0,64.0,89.0,-416.0,0.0,0.0,0.0,-691.0,72.0,72.0,80.0,-429.0,209.0,209.0,676.0,644.0,77.0,77.0,102.0,-460.0,0.0,0.0,0.0,-691.0,58.0,58.0,84.0,-372.0,209.0,209.0,1031.0,-2415.0,False,5764801.0,0.0,48348488563200.0,691.0,74.0,0.0,691.0,0.0
30,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_30.txt,0.0,-10.0,0.0,-134.0,0.0,-21.0,0.0,-307.0,9.0,9.0,9.0,-221.0,37.0,37.0,52.0,2.0,0.0,-6.0,0.0,-223.0,0.0,-18.0,0.0,-256.0,0.0,-11.0,0.0,-151.0,37.0,37.0,61.0,-1290.0,False,5764801.0,0.0,59370882167520.0,705.0,60.0,39714306314760.0,622.0,58.0
31,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_31.txt,0.0,-20.0,0.0,-292.0,0.0,-23.0,0.0,-278.0,41.0,41.0,41.0,-135.0,53.0,53.0,53.0,-187.0,5.0,5.0,5.0,-188.0,0.0,-4.0,0.0,-158.0,0.0,-2.0,0.0,-226.0,53.0,53.0,99.0,-1464.0,False,5764801.0,0.0,68994062032896.0,694.0,82.0,17922063903744.0,561.0,46.0
32,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_32.txt,187.0,187.0,408.0,259.0,9.0,9.0,13.0,-464.0,0.0,0.0,0.0,-687.0,0.0,0.0,0.0,-687.0,97.0,97.0,368.0,154.0,65.0,65.0,69.0,-397.0,44.0,44.0,56.0,-415.0,187.0,187.0,914.0,-2237.0,False,5764801.0,0.0,55325551824816.0,698.0,81.0,0.0,687.0,0.0
33,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_33.txt,0.0,-9.0,0.0,-315.0,18.0,18.0,18.0,-226.0,13.0,13.0,13.0,-187.0,9.0,9.0,9.0,-254.0,0.0,-10.0,0.0,-276.0,0.0,-12.0,0.0,-179.0,36.0,36.0,81.0,11.0,36.0,36.0,121.0,-1426.0,False,5764801.0,0.0,53718760085760.0,704.0,83.0,36126527245200.0,606.0,81.0
34,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_34.txt,20.0,20.0,20.0,-194.0,31.0,31.0,31.0,-279.0,0.0,-10.0,0.0,-355.0,3.0,3.0,3.0,-232.0,11.0,11.0,11.0,-149.0,0.0,-18.0,0.0,-306.0,0.0,-30.0,0.0,-419.0,31.0,31.0,65.0,-1934.0,False,5764801.0,0.0,42650426649600.0,667.0,72.0,42650426649600.0,652.0,55.0
35,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_35.txt,9.0,9.0,9.0,-88.0,0.0,-5.0,0.0,-227.0,3.0,3.0,3.0,-247.0,6.0,6.0,6.0,-297.0,0.0,-12.0,0.0,-290.0,0.0,-45.0,0.0,-409.0,57.0,57.0,185.0,152.0,57.0,57.0,203.0,-1406.0,False,5764801.0,0.0,49824964062720.0,657.0,82.0,34918258636800.0,615.0,60.0
36,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_36.txt,15.0,15.0,15.0,-240.0,0.0,-4.0,0.0,-260.0,0.0,-11.0,0.0,-366.0,0.0,-9.0,0.0,-206.0,0.0,-3.0,0.0,-211.0,0.0,-18.0,0.0,-264.0,43.0,43.0,131.0,73.0,43.0,43.0,146.0,-1474.0,False,5764801.0,0.0,62890352640000.0,717.0,80.0,41183344512000.0,622.0,75.0
37,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_37.txt,52.0,52.0,67.0,-53.0,62.0,62.0,63.0,-22.0,0.0,-14.0,0.0,-325.0,25.0,25.0,25.0,-225.0,22.0,22.0,37.0,-70.0,74.0,74.0,172.0,128.0,0.0,0.0,0.0,-182.0,74.0,74.0,364.0,-749.0,False,5764801.0,0.0,86968992551760.0,720.0,80.0,10885962873600.0,528.0,37.0
38,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_38.txt,145.0,145.0,465.0,407.0,79.0,79.0,158.0,-74.0,84.0,84.0,141.0,-326.0,51.0,51.0,62.0,-334.0,0.0,0.0,0.0,-665.0,0.0,0.0,0.0,-665.0,44.0,44.0,62.0,-358.0,145.0,145.0,888.0,-2015.0,False,5764801.0,0.0,40838217856128.0,667.0,72.0,0.0,665.0,0.0
39,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_39.txt,85.0,85.0,108.0,-246.0,154.0,154.0,260.0,161.0,60.0,60.0,90.0,-286.0,78.0,78.0,78.0,-396.0,165.0,165.0,283.0,133.0,0.0,-11.0,0.0,-658.0,57.0,57.0,57.0,-285.0,165.0,165.0,876.0,-1577.0,False,5764801.0,0.0,73421454547584.0,725.0,81.0,0.0,658.0,0.0
40,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_40.txt,174.0,174.0,525.0,460.0,114.0,114.0,208.0,-20.0,52.0,52.0,84.0,-265.0,71.0,71.0,110.0,-301.0,0.0,0.0,0.0,-616.0,0.0,0.0,0.0,-616.0,41.0,41.0,43.0,-406.0,174.0,174.0,970.0,-1764.0,False,5764801.0,0.0,31431133376832.0,684.0,64.0,0.0,616.0,0.0
41,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_41.txt,61.0,61.0,71.0,-261.0,44.0,44.0,44.0,-280.0,139.0,139.0,139.0,-152.0,0.0,-81.0,0.0,-718.0,66.0,66.0,66.0,-422.0,89.0,89.0,112.0,-53.0,2.0,2.0,2.0,-416.0,139.0,139.0,434.0,-2302.0,False,5764801.0,0.0,92296478039040.0,718.0,87.0,0.0,718.0,0.0
42,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_42.txt,0.0,-28.0,0.0,-354.0,32.0,32.0,32.0,-157.0,40.0,40.0,40.0,-215.0,34.0,34.0,34.0,-250.0,5.0,5.0,5.0,-313.0,15.0,15.0,15.0,-278.0,64.0,64.0,168.0,83.0,64.0,64.0,294.0,-1484.0,False,5764801.0,0.0,76969070523576.0,715.0,82.0,28754190339732.0,620.0,43.0
43,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_43.txt,16.0,16.0,16.0,-254.0,25.0,25.0,25.0,-298.0,31.0,31.0,31.0,-363.0,36.0,36.0,36.0,-225.0,68.0,68.0,106.0,49.0,0.0,-22.0,0.0,-374.0,1.0,1.0,1.0,-327.0,68.0,68.0,215.0,-1792.0,False,5764801.0,0.0,57883034419200.0,711.0,71.0,31591787028480.0,655.0,42.0
44,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_44.txt,14.0,14.0,14.0,-318.0,0.0,-6.0,0.0,-340.0,77.0,77.0,179.0,104.0,34.0,34.0,34.0,-246.0,0.0,-21.0,0.0,-297.0,17.0,17.0,17.0,-185.0,0.0,-5.0,0.0,-351.0,77.0,77.0,244.0,-1633.0,False,5764801.0,0.0,67677893809680.0,701.0,83.0,50428204646400.0,656.0,64.0
45,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_45.txt,0.0,-16.0,0.0,-331.0,5.0,5.0,6.0,-122.0,0.0,-1.0,0.0,-243.0,0.0,-31.0,0.0,-340.0,0.0,-8.0,0.0,-262.0,0.0,-18.0,0.0,-216.0,0.0,-3.0,0.0,-153.0,5.0,5.0,6.0,-1667.0,False,5764801.0,0.0,72046263204370.0,722.0,76.0,40499378724350.0,618.0,71.0
46,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_46.txt,61.0,61.0,61.0,-62.0,71.0,71.0,129.0,24.0,37.0,37.0,37.0,-219.0,43.0,43.0,76.0,-166.0,0.0,-2.0,0.0,-172.0,14.0,14.0,26.0,-213.0,0.0,-8.0,0.0,-118.0,71.0,71.0,329.0,-926.0,False,5764801.0,0.0,46962957081600.0,712.0,73.0,1485403605504.0,450.0,21.0
47,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_47.txt,0.0,-27.0,0.0,-332.0,11.0,11.0,11.0,-329.0,0.0,-30.0,0.0,-407.0,19.0,19.0,20.0,-172.0,0.0,-23.0,0.0,-458.0,16.0,16.0,16.0,-220.0,75.0,75.0,204.0,82.0,75.0,75.0,251.0,-1836.0,False,5764801.0,0.0,46079957911680.0,660.0,77.0,42488463790080.0,660.0,63.0
48,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_48.txt,60.0,60.0,149.0,29.0,10.0,10.0,10.0,-404.0,0.0,-19.0,0.0,-438.0,0.0,-34.0,0.0,-453.0,22.0,22.0,22.0,-205.0,0.0,-1.0,0.0,-317.0,25.0,25.0,36.0,-205.0,60.0,60.0,217.0,-1993.0,False,5764801.0,0.0,79569129024000.0,735.0,80.0,70660921438800.0,712.0,60.0
49,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_49.txt,62.0,62.0,75.0,-243.0,122.0,122.0,439.0,439.0,42.0,42.0,42.0,-411.0,17.0,17.0,17.0,-404.0,48.0,48.0,48.0,-455.0,78.0,78.0,78.0,-341.0,0.0,-81.0,0.0,-720.0,122.0,122.0,699.0,-2135.0,False,5764801.0,0.0,76641237335520.0,727.0,83.0,0.0,720.0,0.0
50,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_50.txt,85.0,85.0,107.0,-75.0,28.0,28.0,44.0,-136.0,68.0,68.0,68.0,-96.0,53.0,53.0,68.0,-33.0,0.0,-54.0,0.0,-467.0,49.0,49.0,49.0,-189.0,8.0,8.0,8.0,-238.0,85.0,85.0,344.0,-1234.0,False,5764801.0,0.0,24095599590400.0,650.0,66.0,0.0,467.0,0.0
51,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_51.txt,0.0,-15.0,0.0,-388.0,25.0,25.0,25.0,-145.0,0.0,-3.0,0.0,-163.0,0.0,-1.0,0.0,-277.0,2.0,2.0,2.0,-85.0,22.0,22.0,22.0,-139.0,0.0,-34.0,0.0,-290.0,25.0,25.0,49.0,-1487.0,False,5764801.0,0.0,63798366905728.0,690.0,76.0,34233270046976.0,604.0,71.0
52,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_52.txt,44.0,44.0,44.0,-307.0,73.0,73.0,73.0,-320.0,74.0,74.0,74.0,-315.0,90.0,90.0,164.0,80.0,0.0,-70.0,0.0,-673.0,143.0,143.0,247.0,123.0,11.0,11.0,11.0,-346.0,143.0,143.0,613.0,-1758.0,False,5764801.0,0.0,56731472083440.0,673.0,72.0,0.0,673.0,0.0
53,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_53.txt,0.0,-22.0,0.0,-173.0,5.0,5.0,5.0,-182.0,53.0,53.0,55.0,-222.0,43.0,43.0,43.0,-257.0,0.0,-1.0,0.0,-155.0,36.0,36.0,36.0,-281.0,0.0,-13.0,0.0,-346.0,53.0,53.0,139.0,-1616.0,False,5764801.0,0.0,69758054530560.0,672.0,82.0,18711528897600.0,577.0,35.0
54,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_54.txt,5.0,5.0,9.0,-240.0,4.0,4.0,4.0,-157.0,25.0,25.0,25.0,-380.0,0.0,-25.0,0.0,-396.0,0.0,-31.0,0.0,-370.0,0.0,0.0,0.0,-313.0,75.0,75.0,163.0,92.0,75.0,75.0,201.0,-1764.0,False,5764801.0,0.0,54165609792000.0,710.0,81.0,36442662994080.0,644.0,45.0
55,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_55.txt,56.0,56.0,145.0,43.0,53.0,53.0,149.0,125.0,11.0,11.0,11.0,-312.0,47.0,47.0,47.0,-366.0,0.0,-68.0,0.0,-622.0,17.0,17.0,42.0,-233.0,20.0,20.0,20.0,-271.0,56.0,56.0,414.0,-1636.0,False,5764801.0,0.0,23536135284480.0,626.0,68.0,0.0,622.0,0.0
56,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_56.txt,70.0,70.0,197.0,190.0,0.0,-2.0,0.0,-232.0,20.0,20.0,20.0,-264.0,0.0,-13.0,0.0,-327.0,29.0,29.0,29.0,-214.0,41.0,41.0,41.0,-290.0,0.0,-7.0,0.0,-257.0,70.0,70.0,287.0,-1394.0,False,5764801.0,0.0,64294002108000.0,693.0,70.0,10143282240000.0,558.0,27.0
57,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_57.txt,87.0,87.0,87.0,-269.0,94.0,94.0,94.0,-352.0,33.0,33.0,61.0,-231.0,38.0,38.0,112.0,51.0,138.0,138.0,206.0,27.0,0.0,-44.0,0.0,-672.0,33.0,33.0,33.0,-396.0,138.0,138.0,593.0,-1842.0,False,5764801.0,0.0,68699081571120.0,720.0,77.0,0.0,672.0,0.0
58,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_58.txt,22.0,22.0,22.0,-405.0,72.0,72.0,72.0,-319.0,67.0,67.0,154.0,-47.0,2.0,2.0,2.0,-388.0,0.0,-68.0,0.0,-708.0,57.0,57.0,57.0,-399.0,62.0,62.0,213.0,-1.0,72.0,72.0,520.0,-2267.0,False,5764801.0,0.0,60486176120832.0,708.0,81.0,0.0,708.0,0.0
