Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Agent_7_Max,Agent_7_Max_Unclipped,Agent_7_Sum,Agent_7_Sum_Unclipped,Agent_8_Max,Agent_8_Max_Unclipped,Agent_8_Sum,Agent_8_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
14,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_14.txt,69.0,69.0,134.0,-330.0,0.0,0.0,0.0,-808.0,59.0,59.0,122.0,-367.0,100.0,100.0,290.0,108.0,65.0,65.0,116.0,-392.0,0.0,0.0,0.0,-808.0,178.0,178.0,436.0,374.0,76.0,76.0,102.0,-383.0,178.0,178.0,1200.0,-2606.0,False
15,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_15.txt,140.0,140.0,243.0,33.0,0.0,0.0,0.0,-827.0,55.0,55.0,55.0,-504.0,33.0,33.0,41.0,-499.0,0.0,0.0,0.0,-827.0,83.0,83.0,85.0,-457.0,73.0,73.0,101.0,-329.0,178.0,178.0,499.0,438.0,178.0,178.0,1024.0,-2972.0,False
16,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_16.txt,0.0,-6.0,0.0,-235.0,0.0,-9.0,0.0,-302.0,10.0,10.0,15.0,-211.0,51.0,51.0,51.0,-304.0,41.0,41.0,41.0,-152.0,0.0,-7.0,0.0,-243.0,27.0,27.0,27.0,-417.0,0.0,-2.0,0.0,-212.0,51.0,51.0,134.0,-2076.0,False
17,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_17.txt,87.0,87.0,191.0,110.0,11.0,11.0,12.0,-278.0,5.0,5.0,5.0,-423.0,0.0,-14.0,0.0,-315.0,4.0,4.0,4.0,-314.0,21.0,21.0,21.0,-282.0,0.0,-29.0,0.0,-423.0,0.0,-14.0,0.0,-319.0,87.0,87.0,233.0,-2244.0,False
18,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_18.txt,94.0,94.0,268.0,-78.0,189.0,189.0,488.0,401.0,0.0,0.0,0.0,-793.0,0.0,0.0,0.0,-793.0,66.0,66.0,106.0,-366.0,0.0,0.0,0.0,-793.0,75.0,75.0,143.0,-453.0,80.0,80.0,165.0,-236.0,189.0,189.0,1170.0,-3111.0,False
19,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_19.txt,0.0,-10.0,0.0,-285.0,39.0,39.0,127.0,83.0,0.0,-25.0,0.0,-355.0,0.0,-2.0,0.0,-172.0,0.0,-7.0,0.0,-286.0,0.0,-3.0,0.0,-384.0,0.0,-10.0,0.0,-315.0,0.0,-5.0,0.0,-250.0,39.0,39.0,127.0,-1964.0,False
20,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_20.txt,0.0,-6.0,0.0,-225.0,30.0,30.0,36.0,-183.0,0.0,-17.0,0.0,-289.0,5.0,5.0,5.0,-367.0,0.0,-8.0,0.0,-183.0,0.0,-5.0,0.0,-309.0,0.0,-16.0,0.0,-299.0,42.0,42.0,56.0,-22.0,42.0,42.0,97.0,-1877.0,False
21,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_21.txt,49.0,49.0,53.0,-276.0,56.0,56.0,56.0,-259.0,0.0,-66.0,0.0,-745.0,77.0,77.0,77.0,-356.0,144.0,144.0,238.0,76.0,75.0,75.0,75.0,-338.0,35.0,35.0,35.0,-479.0,21.0,21.0,24.0,-298.0,144.0,144.0,558.0,-2675.0,False
22,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_22.txt,140.0,140.0,317.0,278.0,54.0,54.0,74.0,-153.0,76.0,76.0,76.0,-170.0,4.0,4.0,4.0,-210.0,75.0,75.0,75.0,-270.0,86.0,86.0,86.0,-173.0,0.0,-56.0,0.0,-562.0,27.0,27.0,27.0,-256.0,140.0,140.0,659.0,-1516.0,False
23,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_23.txt,29.0,29.0,29.0,-196.0,0.0,-3.0,0.0,-341.0,0.0,-9.0,0.0,-288.0,12.0,12.0,12.0,-262.0,29.0,29.0,29.0,-274.0,0.0,-6.0,0.0,-213.0,0.0,-16.0,0.0,-233.0,66.0,66.0,136.0,15.0,66.0,66.0,206.0,-1792.0,False
24,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_24.txt,29.0,29.0,45.0,-207.0,59.0,59.0,103.0,-156.0,51.0,51.0,80.0,-242.0,113.0,113.0,270.0,194.0,69.0,69.0,128.0,-174.0,35.0,35.0,45.0,-229.0,55.0,55.0,71.0,-266.0,22.0,22.0,22.0,-349.0,113.0,113.0,764.0,-1429.0,False
25,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_25.txt,138.0,138.0,229.0,140.0,18.0,18.0,30.0,-147.0,65.0,65.0,128.0,21.0,90.0,90.0,98.0,-79.0,30.0,30.0,40.0,-219.0,52.0,52.0,55.0,-110.0,48.0,48.0,71.0,-124.0,15.0,15.0,15.0,-295.0,138.0,138.0,666.0,-813.0,False
26,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_26.txt,2.0,2.0,2.0,-377.0,15.0,15.0,15.0,-343.0,25.0,25.0,33.0,-253.0,92.0,92.0,117.0,44.0,14.0,14.0,14.0,-328.0,0.0,-16.0,0.0,-390.0,37.0,37.0,40.0,-254.0,0.0,-19.0,0.0,-438.0,92.0,92.0,221.0,-2339.0,False
27,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_27.txt,0.0,-6.0,0.0,-282.0,0.0,-12.0,0.0,-304.0,17.0,17.0,17.0,-248.0,21.0,21.0,21.0,-102.0,20.0,20.0,20.0,-267.0,0.0,-10.0,0.0,-306.0,1.0,1.0,1.0,-246.0,0.0,-15.0,0.0,-281.0,21.0,21.0,59.0,-2036.0,False
28,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_28.txt,7.0,7.0,7.0,-378.0,0.0,-35.0,0.0,-394.0,0.0,-29.0,0.0,-340.0,0.0,-5.0,0.0,-358.0,0.0,-9.0,0.0,-342.0,0.0,-5.0,0.0,-288.0,0.0,-19.0,0.0,-362.0,47.0,47.0,83.0,-169.0,47.0,47.0,90.0,-2631.0,False
29,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_29.txt,14.0,14.0,14.0,-241.0,0.0,-24.0,0.0,-392.0,15.0,15.0,15.0,-254.0,0.0,-3.0,0.0,-317.0,3.0,3.0,3.0,-198.0,0.0,-1.0,0.0,-254.0,13.0,13.0,25.0,-234.0,61.0,61.0,173.0,65.0,61.0,61.0,230.0,-1825.0,False
30,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_30.txt,0.0,-10.0,0.0,-326.0,6.0,6.0,6.0,-418.0,0.0,-7.0,0.0,-436.0,0.0,-13.0,0.0,-337.0,0.0,-7.0,0.0,-368.0,54.0,54.0,77.0,-21.0,0.0,-23.0,0.0,-388.0,0.0,-19.0,0.0,-427.0,54.0,54.0,83.0,-2721.0,False
31,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_31.txt,66.0,66.0,134.0,-347.0,176.0,176.0,551.0,400.0,0.0,0.0,0.0,-786.0,164.0,164.0,398.0,248.0,0.0,0.0,0.0,-786.0,48.0,48.0,101.0,-404.0,90.0,90.0,197.0,-272.0,0.0,0.0,0.0,-786.0,176.0,176.0,1381.0,-2733.0,False
32,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_32.txt,0.0,-1.0,0.0,-245.0,21.0,21.0,21.0,-298.0,4.0,4.0,4.0,-312.0,20.0,20.0,20.0,-319.0,36.0,36.0,62.0,-70.0,0.0,0.0,0.0,-227.0,26.0,26.0,26.0,-295.0,0.0,-18.0,0.0,-319.0,36.0,36.0,133.0,-2085.0,False
33,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_33.txt,28.0,28.0,40.0,-312.0,70.0,70.0,100.0,-355.0,96.0,96.0,181.0,20.0,55.0,55.0,108.0,-264.0,0.0,0.0,0.0,-704.0,112.0,112.0,205.0,1.0,94.0,94.0,158.0,-194.0,0.0,0.0,0.0,-704.0,112.0,112.0,792.0,-2512.0,False
34,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_34.txt,110.0,110.0,380.0,349.0,42.0,42.0,68.0,-369.0,0.0,0.0,0.0,-777.0,79.0,79.0,157.0,-278.0,0.0,0.0,0.0,-777.0,68.0,68.0,123.0,-340.0,80.0,80.0,80.0,-373.0,70.0,70.0,127.0,-49.0,110.0,110.0,935.0,-2614.0,False
35,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_35.txt,0.0,-11.0,0.0,-301.0,0.0,-15.0,0.0,-401.0,6.0,6.0,6.0,-386.0,0.0,-34.0,0.0,-467.0,0.0,-2.0,0.0,-338.0,0.0,-15.0,0.0,-337.0,0.0,-2.0,0.0,-297.0,54.0,54.0,101.0,53.0,54.0,54.0,107.0,-2474.0,False
36,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_36.txt,78.0,78.0,194.0,159.0,38.0,38.0,74.0,-111.0,22.0,22.0,22.0,-206.0,45.0,45.0,45.0,-153.0,44.0,44.0,91.0,35.0,92.0,92.0,92.0,-51.0,52.0,52.0,127.0,-124.0,52.0,52.0,69.0,-136.0,92.0,92.0,714.0,-587.0,False
37,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_37.txt,2.0,2.0,2.0,-305.0,0.0,-8.0,0.0,-444.0,11.0,11.0,13.0,-112.0,0.0,-14.0,0.0,-328.0,0.0,-6.0,0.0,-329.0,0.0,-3.0,0.0,-395.0,9.0,9.0,9.0,-391.0,0.0,-19.0,0.0,-446.0,11.0,11.0,24.0,-2750.0,False
38,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_38.txt,86.0,86.0,146.0,48.0,65.0,65.0,162.0,137.0,63.0,63.0,63.0,-374.0,98.0,98.0,140.0,-76.0,48.0,48.0,48.0,-190.0,14.0,14.0,27.0,-250.0,0.0,-71.0,0.0,-640.0,14.0,14.0,14.0,-324.0,98.0,98.0,600.0,-1669.0,False
39,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_39.txt,92.0,92.0,162.0,-412.0,131.0,131.0,343.0,31.0,37.0,37.0,58.0,-523.0,0.0,0.0,0.0,-805.0,0.0,0.0,0.0,-805.0,67.0,67.0,129.0,-416.0,193.0,193.0,675.0,675.0,80.0,80.0,99.0,-414.0,193.0,193.0,1466.0,-2669.0,False
40,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_40.txt,41.0,41.0,41.0,-295.0,73.0,73.0,122.0,-195.0,35.0,35.0,84.0,-365.0,16.0,16.0,16.0,-376.0,0.0,-30.0,0.0,-685.0,97.0,97.0,255.0,217.0,12.0,12.0,12.0,-492.0,69.0,69.0,264.0,145.0,97.0,97.0,794.0,-2046.0,False
41,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_41.txt,95.0,95.0,154.0,101.0,21.0,21.0,29.0,-273.0,46.0,46.0,46.0,-181.0,17.0,17.0,17.0,-317.0,44.0,44.0,57.0,-285.0,16.0,16.0,16.0,-263.0,25.0,25.0,25.0,-249.0,16.0,16.0,20.0,-326.0,95.0,95.0,364.0,-1793.0,False
42,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_42.txt,134.0,134.0,414.0,410.0,66.0,66.0,87.0,-186.0,33.0,33.0,33.0,-143.0,30.0,30.0,50.0,-214.0,0.0,-5.0,0.0,-345.0,38.0,38.0,38.0,-287.0,86.0,86.0,156.0,-21.0,51.0,51.0,62.0,-226.0,134.0,134.0,840.0,-1012.0,False
43,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_43.txt,89.0,89.0,201.0,-136.0,155.0,155.0,390.0,270.0,0.0,0.0,0.0,-765.0,75.0,75.0,116.0,-238.0,0.0,0.0,0.0,-765.0,35.0,35.0,58.0,-377.0,61.0,61.0,78.0,-440.0,132.0,132.0,294.0,152.0,155.0,155.0,1137.0,-2299.0,False
44,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_44.txt,88.0,88.0,107.0,-339.0,0.0,0.0,0.0,-760.0,135.0,135.0,480.0,480.0,77.0,77.0,105.0,-375.0,77.0,77.0,102.0,-441.0,0.0,0.0,0.0,-760.0,60.0,60.0,68.0,-464.0,103.0,103.0,253.0,-40.0,135.0,135.0,1115.0,-2699.0,False
45,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_45.txt,11.0,11.0,11.0,-190.0,68.0,68.0,68.0,-205.0,41.0,41.0,41.0,-174.0,68.0,68.0,68.0,-166.0,51.0,51.0,58.0,-91.0,12.0,12.0,12.0,-291.0,35.0,35.0,35.0,-114.0,66.0,66.0,66.0,-175.0,68.0,68.0,359.0,-1406.0,False
46,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_46.txt,15.0,15.0,43.0,-315.0,84.0,84.0,84.0,-272.0,45.0,45.0,45.0,-326.0,4.0,4.0,4.0,-377.0,69.0,69.0,69.0,-166.0,90.0,90.0,90.0,-96.0,0.0,-50.0,0.0,-636.0,79.0,79.0,184.0,116.0,90.0,90.0,519.0,-2072.0,False
47,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_47.txt,22.0,22.0,22.0,-128.0,34.0,34.0,34.0,-337.0,0.0,-9.0,0.0,-348.0,12.0,12.0,12.0,-371.0,0.0,-9.0,0.0,-330.0,28.0,28.0,28.0,-373.0,0.0,-42.0,0.0,-462.0,50.0,50.0,97.0,8.0,50.0,50.0,193.0,-2341.0,False
48,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_48.txt,0.0,-41.0,0.0,-744.0,79.0,79.0,109.0,-439.0,124.0,124.0,259.0,183.0,8.0,8.0,8.0,-388.0,22.0,22.0,49.0,-388.0,27.0,27.0,27.0,-419.0,11.0,11.0,11.0,-404.0,141.0,141.0,279.0,187.0,141.0,141.0,742.0,-2412.0,False
49,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_49.txt,31.0,31.0,43.0,-219.0,74.0,74.0,74.0,-385.0,158.0,158.0,254.0,107.0,9.0,9.0,9.0,-507.0,9.0,9.0,9.0,-324.0,0.0,-11.0,0.0,-359.0,0.0,-7.0,0.0,-501.0,13.0,13.0,13.0,-396.0,158.0,158.0,402.0,-2584.0,False
50,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_50.txt,0.0,0.0,0.0,-817.0,114.0,114.0,359.0,36.0,79.0,79.0,186.0,72.0,0.0,0.0,0.0,-817.0,0.0,0.0,0.0,-817.0,83.0,83.0,178.0,-313.0,68.0,68.0,144.0,-499.0,111.0,111.0,322.0,32.0,114.0,114.0,1189.0,-3123.0,False
51,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_51.txt,8.0,8.0,10.0,-366.0,0.0,-40.0,0.0,-487.0,0.0,-8.0,0.0,-457.0,0.0,-6.0,0.0,-362.0,0.0,-15.0,0.0,-286.0,0.0,-5.0,0.0,-240.0,0.0,-11.0,0.0,-456.0,26.0,26.0,73.0,37.0,26.0,26.0,83.0,-2617.0,False
52,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_52.txt,91.0,91.0,172.0,62.0,0.0,-23.0,0.0,-520.0,34.0,34.0,49.0,-259.0,4.0,4.0,4.0,-357.0,0.0,-14.0,0.0,-390.0,13.0,13.0,19.0,-288.0,7.0,7.0,7.0,-359.0,0.0,-7.0,0.0,-402.0,91.0,91.0,251.0,-2513.0,False
53,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_53.txt,0.0,-2.0,0.0,-330.0,25.0,25.0,25.0,-329.0,0.0,-3.0,0.0,-448.0,10.0,10.0,10.0,-357.0,0.0,-10.0,0.0,-361.0,6.0,6.0,11.0,-274.0,27.0,27.0,27.0,-194.0,16.0,16.0,27.0,-65.0,27.0,27.0,100.0,-2358.0,False
54,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_54.txt,135.0,135.0,433.0,429.0,0.0,0.0,0.0,-690.0,177.0,177.0,315.0,109.0,90.0,90.0,196.0,-311.0,0.0,0.0,0.0,-690.0,67.0,67.0,116.0,-261.0,33.0,33.0,40.0,-413.0,37.0,37.0,51.0,-451.0,177.0,177.0,1151.0,-2278.0,False
55,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_55.txt,125.0,125.0,471.0,471.0,96.0,96.0,96.0,-142.0,38.0,38.0,58.0,-147.0,50.0,50.0,58.0,-157.0,40.0,40.0,71.0,-110.0,67.0,67.0,107.0,-74.0,34.0,34.0,34.0,-166.0,0.0,-12.0,0.0,-279.0,125.0,125.0,895.0,-604.0,False
56,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_56.txt,3.0,3.0,5.0,-162.0,63.0,63.0,63.0,-266.0,78.0,78.0,78.0,-147.0,4.0,4.0,4.0,-286.0,52.0,52.0,52.0,-208.0,0.0,-61.0,0.0,-596.0,4.0,4.0,4.0,-196.0,8.0,8.0,8.0,-400.0,78.0,78.0,214.0,-2261.0,False
57,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_57.txt,53.0,53.0,164.0,-186.0,94.0,94.0,218.0,63.0,79.0,79.0,173.0,-94.0,92.0,92.0,199.0,74.0,0.0,-16.0,0.0,-644.0,82.0,82.0,152.0,-237.0,74.0,74.0,134.0,-331.0,61.0,61.0,61.0,-253.0,94.0,94.0,1101.0,-1608.0,False
58,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_58.txt,166.0,166.0,308.0,209.0,131.0,131.0,194.0,54.0,45.0,45.0,70.0,-261.0,24.0,24.0,47.0,-453.0,41.0,41.0,68.0,-340.0,62.0,62.0,83.0,-223.0,70.0,70.0,79.0,-262.0,0.0,-1.0,0.0,-661.0,166.0,166.0,849.0,-1937.0,False
59,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_59.txt,65.0,65.0,65.0,-144.0,39.0,39.0,44.0,-244.0,20.0,20.0,37.0,-171.0,44.0,44.0,68.0,-180.0,30.0,30.0,30.0,-205.0,82.0,82.0,82.0,-231.0,0.0,-65.0,0.0,-592.0,74.0,74.0,79.0,-60.0,82.0,82.0,405.0,-1827.0,False
60,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_60.txt,0.0,0.0,0.0,-813.0,240.0,240.0,1185.0,1185.0,74.0,74.0,200.0,-280.0,81.0,81.0,179.0,-300.0,57.0,57.0,86.0,-474.0,0.0,0.0,0.0,-813.0,71.0,71.0,133.0,-443.0,0.0,0.0,0.0,-813.0,240.0,240.0,1783.0,-2751.0,False
61,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_61.txt,0.0,0.0,0.0,-205.0,15.0,15.0,15.0,-323.0,0.0,-5.0,0.0,-149.0,12.0,12.0,12.0,-230.0,0.0,-11.0,0.0,-314.0,0.0,-10.0,0.0,-296.0,0.0,-15.0,0.0,-302.0,67.0,67.0,123.0,51.0,67.0,67.0,150.0,-1768.0,False
62,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_62.txt,0.0,-19.0,0.0,-307.0,10.0,10.0,10.0,-168.0,0.0,-8.0,0.0,-346.0,0.0,-4.0,0.0,-328.0,0.0,-7.0,0.0,-190.0,0.0,-14.0,0.0,-346.0,0.0,-24.0,0.0,-319.0,0.0,-9.0,0.0,-258.0,10.0,10.0,10.0,-2262.0,False
63,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_63.txt,74.0,74.0,181.0,89.0,25.0,25.0,34.0,-243.0,1.0,1.0,1.0,-296.0,5.0,5.0,5.0,-341.0,36.0,36.0,36.0,-275.0,0.0,-21.0,0.0,-328.0,0.0,-10.0,0.0,-342.0,0.0,-17.0,0.0,-393.0,74.0,74.0,257.0,-2129.0,False
64,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_64.txt,0.0,-12.0,0.0,-325.0,7.0,7.0,7.0,-256.0,19.0,19.0,32.0,-180.0,0.0,-17.0,0.0,-227.0,0.0,-6.0,0.0,-257.0,0.0,-6.0,0.0,-329.0,0.0,-2.0,0.0,-250.0,37.0,37.0,41.0,-81.0,37.0,37.0,80.0,-1905.0,False
65,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_65.txt,113.0,113.0,332.0,258.0,87.0,87.0,101.0,-137.0,86.0,86.0,95.0,-72.0,0.0,0.0,0.0,-542.0,87.0,87.0,149.0,-42.0,0.0,0.0,0.0,-542.0,88.0,88.0,106.0,-143.0,95.0,95.0,133.0,-113.0,113.0,113.0,916.0,-1333.0,False
66,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_66.txt,11.0,11.0,19.0,-227.0,2.0,2.0,2.0,-309.0,0.0,-13.0,0.0,-305.0,8.0,8.0,8.0,-278.0,0.0,-6.0,0.0,-306.0,0.0,-6.0,0.0,-289.0,9.0,9.0,9.0,-243.0,0.0,-11.0,0.0,-367.0,11.0,11.0,38.0,-2324.0,False
