Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
13,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_13.txt,27.0,27.0,47.0,-62.0,20.0,20.0,20.0,-251.0,16.0,16.0,27.0,-174.0,0.0,-23.0,0.0,-313.0,0.0,-10.0,0.0,-214.0,33.0,33.0,44.0,-74.0,33.0,33.0,138.0,-1088.0,False,1679616.0,1.0,920687063296.0,627.0,79.0,432110764800.0,530.0,67.0
14,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_14.txt,16.0,16.0,16.0,-336.0,73.0,73.0,181.0,57.0,0.0,-17.0,0.0,-316.0,0.0,-2.0,0.0,-385.0,0.0,-3.0,0.0,-372.0,41.0,41.0,66.0,-10.0,73.0,73.0,263.0,-1362.0,False,1679616.0,0.0,1413102190500.0,721.0,89.0,882704035200.0,659.0,50.0
15,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_15.txt,25.0,25.0,33.0,-246.0,69.0,69.0,102.0,-123.0,95.0,95.0,95.0,-121.0,53.0,53.0,53.0,-464.0,0.0,-55.0,0.0,-642.0,57.0,57.0,85.0,-16.0,95.0,95.0,368.0,-1612.0,False,1679616.0,0.0,833591088000.0,668.0,80.0,0.0,642.0,0.0
16,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_16.txt,34.0,34.0,45.0,-30.0,34.0,34.0,42.0,-84.0,1.0,1.0,1.0,-231.0,6.0,6.0,6.0,-211.0,1.0,1.0,1.0,-233.0,0.0,0.0,0.0,-263.0,34.0,34.0,95.0,-1052.0,False,1679616.0,0.0,1073177294400.0,664.0,87.0,613001507580.0,573.0,69.0
17,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_17.txt,55.0,55.0,125.0,35.0,84.0,84.0,219.0,163.0,28.0,28.0,55.0,-231.0,44.0,44.0,44.0,-291.0,22.0,22.0,22.0,-329.0,0.0,0.0,0.0,-306.0,84.0,84.0,465.0,-959.0,False,1679616.0,0.0,682563761880.0,649.0,77.0,112803203520.0,541.0,15.0
18,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_18.txt,36.0,36.0,40.0,-96.0,9.0,9.0,11.0,-183.0,28.0,28.0,28.0,-208.0,40.0,40.0,45.0,-116.0,43.0,43.0,43.0,-147.0,0.0,-31.0,0.0,-368.0,43.0,43.0,167.0,-1118.0,False,1679616.0,0.0,805709004100.0,617.0,85.0,453603628800.0,570.0,43.0
19,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_19.txt,76.0,76.0,142.0,45.0,67.0,67.0,125.0,-69.0,0.0,-13.0,0.0,-372.0,3.0,3.0,3.0,-341.0,0.0,-35.0,0.0,-459.0,0.0,0.0,0.0,-438.0,76.0,76.0,270.0,-1634.0,False,1679616.0,0.0,1652129740800.0,680.0,88.0,993523434750.0,663.0,59.0
20,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_20.txt,134.0,134.0,256.0,9.0,50.0,50.0,68.0,-400.0,72.0,72.0,141.0,-221.0,0.0,0.0,0.0,-616.0,0.0,0.0,0.0,-616.0,200.0,200.0,640.0,640.0,200.0,200.0,1105.0,-1204.0,False,1679616.0,0.0,665721141120.0,631.0,83.0,0.0,616.0,0.0
21,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_21.txt,0.0,-24.0,0.0,-365.0,0.0,-40.0,0.0,-369.0,0.0,-4.0,0.0,-277.0,0.0,-27.0,0.0,-435.0,40.0,40.0,88.0,35.0,26.0,26.0,30.0,-145.0,40.0,40.0,118.0,-1556.0,False,1679616.0,0.0,1383465643560.0,679.0,88.0,1133988387840.0,647.0,63.0
22,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_22.txt,51.0,51.0,98.0,-28.0,0.0,-17.0,0.0,-339.0,0.0,-25.0,0.0,-330.0,0.0,-23.0,0.0,-360.0,0.0,-27.0,0.0,-355.0,22.0,22.0,22.0,-128.0,51.0,51.0,120.0,-1540.0,False,1679616.0,0.0,1502524707264.0,682.0,91.0,1327503527640.0,662.0,74.0
23,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_23.txt,30.0,30.0,30.0,-251.0,47.0,47.0,75.0,-25.0,18.0,18.0,18.0,-230.0,0.0,-22.0,0.0,-365.0,0.0,-19.0,0.0,-383.0,24.0,24.0,41.0,-125.0,47.0,47.0,164.0,-1379.0,False,1679616.0,1.0,1287910495872.0,664.0,89.0,517595443200.0,578.0,60.0
24,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_24.txt,0.0,-14.0,0.0,-293.0,27.0,27.0,27.0,-270.0,0.0,-22.0,0.0,-352.0,0.0,-32.0,0.0,-323.0,54.0,54.0,119.0,8.0,12.0,12.0,12.0,-82.0,54.0,54.0,158.0,-1312.0,False,1679616.0,0.0,1563046873024.0,698.0,91.0,920170476680.0,637.0,49.0
25,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_25.txt,14.0,14.0,14.0,-301.0,0.0,-15.0,0.0,-313.0,0.0,-5.0,0.0,-354.0,0.0,-8.0,0.0,-305.0,29.0,29.0,32.0,-62.0,45.0,45.0,52.0,-53.0,45.0,45.0,98.0,-1388.0,False,1679616.0,0.0,1004203137600.0,683.0,86.0,828435548160.0,602.0,64.0
26,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_26.txt,101.0,101.0,133.0,-39.0,87.0,87.0,87.0,-304.0,0.0,-98.0,0.0,-715.0,33.0,33.0,33.0,-401.0,22.0,22.0,43.0,-149.0,38.0,38.0,71.0,-69.0,101.0,101.0,367.0,-1677.0,False,1679616.0,0.0,2226664504064.0,750.0,93.0,0.0,715.0,0.0
27,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_27.txt,0.0,-20.0,0.0,-343.0,0.0,-54.0,0.0,-440.0,0.0,-16.0,0.0,-304.0,0.0,-34.0,0.0,-340.0,0.0,-7.0,0.0,-324.0,58.0,58.0,198.0,179.0,58.0,58.0,198.0,-1572.0,False,1679616.0,0.0,1030670470368.0,658.0,84.0,797938428672.0,615.0,62.0
28,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_28.txt,119.0,119.0,208.0,-27.0,77.0,77.0,147.0,-252.0,74.0,74.0,138.0,-164.0,0.0,0.0,0.0,-676.0,43.0,43.0,77.0,-216.0,0.0,0.0,0.0,-676.0,119.0,119.0,570.0,-2011.0,False,1679616.0,0.0,959295883000.0,682.0,77.0,0.0,676.0,0.0
29,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_29.txt,28.0,28.0,28.0,-138.0,0.0,-4.0,0.0,-299.0,0.0,-26.0,0.0,-377.0,0.0,-39.0,0.0,-372.0,56.0,56.0,92.0,-65.0,0.0,-24.0,0.0,-371.0,56.0,56.0,120.0,-1622.0,False,1679616.0,0.0,1724901990168.0,689.0,94.0,1657515694296.0,689.0,77.0
30,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_30.txt,105.0,105.0,105.0,-5.0,94.0,94.0,98.0,-82.0,11.0,11.0,11.0,-232.0,9.0,9.0,9.0,-140.0,81.0,81.0,81.0,21.0,0.0,-20.0,0.0,-299.0,105.0,105.0,304.0,-737.0,False,1679616.0,0.0,517477320360.0,617.0,75.0,13466797200.0,450.0,3.0
31,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_31.txt,0.0,-6.0,0.0,-265.0,12.0,12.0,19.0,-104.0,0.0,-49.0,0.0,-403.0,6.0,6.0,6.0,-266.0,54.0,54.0,54.0,-192.0,0.0,-19.0,0.0,-401.0,54.0,54.0,79.0,-1631.0,False,1679616.0,0.0,1187093664000.0,649.0,87.0,1027092357360.0,638.0,59.0
32,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_32.txt,119.0,119.0,284.0,202.0,0.0,-14.0,0.0,-357.0,0.0,-20.0,0.0,-370.0,0.0,-28.0,0.0,-437.0,10.0,10.0,10.0,-328.0,11.0,11.0,24.0,-89.0,119.0,119.0,318.0,-1379.0,False,1679616.0,0.0,2196207233220.0,745.0,93.0,1330514776500.0,696.0,65.0
33,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_33.txt,0.0,0.0,0.0,-660.0,153.0,153.0,346.0,238.0,155.0,155.0,313.0,28.0,4.0,4.0,6.0,-566.0,73.0,73.0,192.0,-86.0,0.0,0.0,0.0,-660.0,155.0,155.0,857.0,-1706.0,False,1679616.0,0.0,919795762116.0,688.0,87.0,0.0,660.0,0.0
34,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_34.txt,33.0,33.0,61.0,-55.0,32.0,32.0,63.0,3.0,0.0,-26.0,0.0,-239.0,0.0,-16.0,0.0,-325.0,0.0,0.0,0.0,-238.0,96.0,96.0,265.0,265.0,96.0,96.0,389.0,-589.0,False,1679616.0,0.0,1536839075520.0,697.0,84.0,260538982704.0,498.0,51.0
35,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_35.txt,142.0,142.0,149.0,28.0,116.0,116.0,143.0,60.0,157.0,157.0,157.0,-157.0,91.0,91.0,91.0,-175.0,0.0,-62.0,0.0,-583.0,4.0,4.0,4.0,-323.0,157.0,157.0,544.0,-1150.0,False,1679616.0,0.0,940926339360.0,659.0,83.0,0.0,583.0,0.0
36,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_36.txt,40.0,40.0,75.0,-132.0,0.0,-28.0,0.0,-272.0,0.0,-17.0,0.0,-233.0,0.0,-14.0,0.0,-267.0,0.0,-33.0,0.0,-304.0,39.0,39.0,83.0,14.0,40.0,40.0,158.0,-1194.0,False,1679616.0,0.0,928760998200.0,648.0,81.0,602434477440.0,580.0,61.0
37,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_37.txt,80.0,80.0,119.0,2.0,0.0,-3.0,0.0,-393.0,0.0,-42.0,0.0,-438.0,38.0,38.0,69.0,-67.0,0.0,-13.0,0.0,-293.0,0.0,-30.0,0.0,-435.0,80.0,80.0,188.0,-1624.0,False,1679616.0,0.0,1281485852920.0,674.0,86.0,1095463712980.0,656.0,53.0
38,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_38.txt,129.0,129.0,166.0,-55.0,44.0,44.0,92.0,-74.0,59.0,59.0,59.0,-154.0,15.0,15.0,15.0,-423.0,0.0,-53.0,0.0,-584.0,18.0,18.0,18.0,-257.0,129.0,129.0,350.0,-1547.0,False,1679616.0,0.0,711585816480.0,609.0,79.0,0.0,584.0,0.0
39,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_39.txt,127.0,127.0,138.0,43.0,37.0,37.0,37.0,-133.0,15.0,15.0,23.0,-200.0,20.0,20.0,20.0,-184.0,0.0,-39.0,0.0,-362.0,87.0,87.0,114.0,14.0,127.0,127.0,332.0,-822.0,False,1679616.0,0.0,873289612800.0,653.0,83.0,45985320000.0,512.0,5.0
40,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_40.txt,51.0,51.0,93.0,42.0,34.0,34.0,34.0,-262.0,0.0,-32.0,0.0,-407.0,0.0,-14.0,0.0,-299.0,7.0,7.0,7.0,-187.0,0.0,-28.0,0.0,-426.0,51.0,51.0,134.0,-1539.0,False,1679616.0,0.0,1507459734000.0,707.0,96.0,1499375797920.0,705.0,56.0
41,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_41.txt,1.0,1.0,1.0,-393.0,170.0,170.0,170.0,-116.0,12.0,12.0,12.0,-421.0,116.0,116.0,116.0,-160.0,0.0,-91.0,0.0,-671.0,37.0,37.0,50.0,-168.0,170.0,170.0,349.0,-1929.0,False,1679616.0,0.0,1578947292468.0,671.0,86.0,0.0,671.0,0.0
42,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_42.txt,135.0,135.0,200.0,132.0,76.0,76.0,92.0,-254.0,82.0,82.0,82.0,-294.0,0.0,-49.0,0.0,-610.0,33.0,33.0,33.0,-360.0,94.0,94.0,153.0,-49.0,135.0,135.0,560.0,-1435.0,False,1679616.0,0.0,626030184780.0,653.0,78.0,0.0,610.0,0.0
43,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_43.txt,0.0,0.0,0.0,-651.0,0.0,0.0,0.0,-651.0,136.0,136.0,241.0,16.0,132.0,132.0,288.0,92.0,21.0,21.0,39.0,-397.0,80.0,80.0,127.0,-107.0,136.0,136.0,695.0,-1698.0,False,1679616.0,0.0,962918310546.0,651.0,80.0,0.0,651.0,0.0
44,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_44.txt,66.0,66.0,110.0,67.0,0.0,-27.0,0.0,-376.0,0.0,-55.0,0.0,-412.0,0.0,-49.0,0.0,-372.0,1.0,1.0,1.0,-321.0,58.0,58.0,88.0,-58.0,66.0,66.0,199.0,-1472.0,False,1679616.0,0.0,2047271466240.0,719.0,90.0,1787852088000.0,688.0,88.0
45,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_45.txt,80.0,80.0,160.0,108.0,58.0,58.0,91.0,-402.0,156.0,156.0,287.0,0.0,0.0,0.0,0.0,-715.0,0.0,0.0,0.0,-715.0,105.0,105.0,203.0,-69.0,156.0,156.0,741.0,-1793.0,False,1679616.0,0.0,1499967203328.0,715.0,89.0,0.0,715.0,0.0
46,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_46.txt,0.0,-26.0,0.0,-321.0,84.0,84.0,187.0,146.0,0.0,-13.0,0.0,-397.0,0.0,-21.0,0.0,-338.0,22.0,22.0,22.0,-244.0,0.0,-15.0,0.0,-327.0,84.0,84.0,209.0,-1481.0,False,1679616.0,0.0,1259791951572.0,683.0,88.0,822969920916.0,653.0,67.0
47,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_47.txt,0.0,-8.0,0.0,-317.0,0.0,-48.0,0.0,-357.0,14.0,14.0,19.0,-73.0,79.0,79.0,181.0,120.0,0.0,-16.0,0.0,-300.0,0.0,-18.0,0.0,-301.0,79.0,79.0,200.0,-1228.0,False,1679616.0,0.0,2061782053632.0,718.0,92.0,1198699848192.0,630.0,88.0
48,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_48.txt,0.0,-9.0,0.0,-412.0,38.0,38.0,63.0,-120.0,69.0,69.0,119.0,26.0,0.0,-27.0,0.0,-387.0,0.0,-9.0,0.0,-405.0,0.0,-49.0,0.0,-426.0,69.0,69.0,182.0,-1724.0,False,1679616.0,0.0,1386857299968.0,665.0,89.0,1339949915136.0,665.0,71.0
49,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_49.txt,0.0,-2.0,0.0,-208.0,82.0,82.0,99.0,-95.0,0.0,-29.0,0.0,-289.0,0.0,-2.0,0.0,-294.0,31.0,31.0,31.0,-294.0,16.0,16.0,16.0,-123.0,82.0,82.0,146.0,-1303.0,False,1679616.0,0.0,1602053907300.0,696.0,92.0,480250764000.0,585.0,35.0
50,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_50.txt,3.0,3.0,3.0,-199.0,44.0,44.0,79.0,-6.0,0.0,-6.0,0.0,-296.0,0.0,-6.0,0.0,-122.0,0.0,-5.0,0.0,-235.0,46.0,46.0,59.0,-29.0,46.0,46.0,141.0,-887.0,False,1679616.0,0.0,908935582464.0,693.0,81.0,524540261700.0,542.0,75.0
51,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_51.txt,35.0,35.0,37.0,-171.0,0.0,-15.0,0.0,-292.0,78.0,78.0,98.0,20.0,0.0,-45.0,0.0,-441.0,53.0,53.0,80.0,-37.0,0.0,-8.0,0.0,-368.0,78.0,78.0,215.0,-1289.0,False,1679616.0,0.0,1084588893696.0,648.0,87.0,744990048000.0,632.0,50.0
52,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_52.txt,5.0,5.0,5.0,-331.0,0.0,-31.0,0.0,-512.0,45.0,45.0,45.0,-290.0,36.0,36.0,66.0,-65.0,46.0,46.0,46.0,-270.0,63.0,63.0,127.0,44.0,63.0,63.0,289.0,-1424.0,False,1679616.0,0.0,1854235079424.0,720.0,89.0,897142428000.0,665.0,39.0
53,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_53.txt,46.0,46.0,69.0,-151.0,47.0,47.0,90.0,41.0,71.0,71.0,71.0,-189.0,0.0,-5.0,0.0,-286.0,35.0,35.0,35.0,-276.0,38.0,38.0,54.0,-70.0,71.0,71.0,319.0,-931.0,False,1679616.0,0.0,1298491636140.0,693.0,87.0,208205337600.0,542.0,24.0
54,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_54.txt,11.0,11.0,31.0,-64.0,29.0,29.0,32.0,-216.0,0.0,-12.0,0.0,-316.0,9.0,9.0,9.0,-284.0,17.0,17.0,17.0,-291.0,0.0,-15.0,0.0,-214.0,29.0,29.0,89.0,-1385.0,False,1679616.0,0.0,1582754127360.0,710.0,89.0,933788030616.0,625.0,69.0
55,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_55.txt,45.0,45.0,45.0,-23.0,123.0,123.0,171.0,148.0,175.0,175.0,175.0,-81.0,57.0,57.0,67.0,-146.0,98.0,98.0,98.0,-206.0,0.0,-78.0,0.0,-496.0,175.0,175.0,556.0,-804.0,False,1679616.0,0.0,814213559250.0,684.0,80.0,0.0,496.0,0.0
56,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_56.txt,0.0,-44.0,0.0,-368.0,0.0,-16.0,0.0,-277.0,0.0,-35.0,0.0,-345.0,24.0,24.0,33.0,-212.0,21.0,21.0,21.0,-107.0,0.0,-2.0,0.0,-364.0,24.0,24.0,54.0,-1673.0,False,1679616.0,0.0,1723000688640.0,709.0,85.0,1723000688640.0,680.0,80.0
57,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_57.txt,1.0,1.0,1.0,-238.0,62.0,62.0,62.0,-199.0,46.0,46.0,46.0,-137.0,0.0,-3.0,0.0,-375.0,0.0,-39.0,0.0,-485.0,0.0,-3.0,0.0,-409.0,62.0,62.0,109.0,-1843.0,False,1679616.0,0.0,2186124183936.0,731.0,91.0,2153469813264.0,724.0,77.0
58,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_58.txt,8.0,8.0,8.0,-444.0,1.0,1.0,1.0,-370.0,52.0,52.0,154.0,-72.0,17.0,17.0,44.0,-198.0,106.0,106.0,199.0,57.0,0.0,-56.0,0.0,-652.0,106.0,106.0,406.0,-1679.0,False,1679616.0,0.0,932816479392.0,652.0,81.0,0.0,652.0,0.0
59,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_59.txt,34.0,34.0,34.0,-309.0,0.0,-14.0,0.0,-363.0,0.0,-25.0,0.0,-314.0,3.0,3.0,3.0,-272.0,0.0,-8.0,0.0,-398.0,60.0,60.0,169.0,151.0,60.0,60.0,206.0,-1505.0,False,1679616.0,0.0,1991753271360.0,724.0,94.0,689529565728.0,595.0,59.0
60,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_60.txt,2.0,2.0,2.0,-404.0,0.0,-25.0,0.0,-345.0,39.0,39.0,83.0,-116.0,0.0,0.0,0.0,-311.0,10.0,10.0,11.0,-130.0,0.0,-30.0,0.0,-381.0,39.0,39.0,96.0,-1687.0,False,1679616.0,0.0,2173982597325.0,730.0,96.0,2168335889280.0,724.0,73.0
61,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_61.txt,49.0,49.0,77.0,-18.0,23.0,23.0,23.0,-201.0,4.0,4.0,4.0,-235.0,24.0,24.0,24.0,-265.0,0.0,-11.0,0.0,-296.0,0.0,-6.0,0.0,-289.0,49.0,49.0,128.0,-1304.0,False,1679616.0,0.0,1423784246976.0,699.0,86.0,669715929792.0,595.0,69.0
62,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_62.txt,173.0,173.0,562.0,343.0,0.0,0.0,0.0,-695.0,0.0,0.0,0.0,-695.0,0.0,0.0,0.0,-695.0,55.0,55.0,67.0,-465.0,233.0,233.0,601.0,539.0,233.0,233.0,1230.0,-1668.0,False,1679616.0,0.0,1138858636608.0,695.0,84.0,0.0,695.0,0.0
63,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_63.txt,0.0,-68.0,0.0,-672.0,145.0,145.0,320.0,192.0,34.0,34.0,68.0,-132.0,41.0,41.0,41.0,-394.0,36.0,36.0,36.0,-357.0,49.0,49.0,73.0,-277.0,145.0,145.0,538.0,-1640.0,False,1679616.0,0.0,1266403590144.0,680.0,81.0,0.0,672.0,0.0
64,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_64.txt,24.0,24.0,24.0,-517.0,143.0,143.0,234.0,33.0,0.0,-25.0,0.0,-639.0,72.0,72.0,123.0,-102.0,65.0,65.0,65.0,-297.0,114.0,114.0,177.0,-8.0,143.0,143.0,623.0,-1530.0,False,1679616.0,0.0,1282324004676.0,658.0,89.0,0.0,639.0,0.0
